,file,data
0,/app/project/R4-12470-1.glm,"/app/project/R3-12470-3.glm,0 kW,2220,5358,108,54.915
/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.694
/app/project/R5-25000-6.glm,0 kW,986,1706,14,8.785
/app/project/R2-12470-3.glm,0 kW,855,1812,11,9.991
/app/project/R4-12470-1.glm,0 kW,725,1599,75,9.195
"
0,/app/project/R1-12470-1.glm,"/app/project/R5-12470-3.glm,0 kW,1839,4042,182,42.886
/app/project/TMP0009.glm,0 kW,4584,5158,2558,63.397
/app/project/R2-35000-5.glm,0 kW,1942,1811,447,12.007
/app/project/R1-12470-1.glm,0 kW,660,1832,20,10.905
"
0,/app/project/R1-12470-1.glm,"/app/project/R5-12470-3.glm,0 kW,1839,4042,182,43.502
/app/project/TMP0009.glm,0 kW,4584,5158,2558,64.022
/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.977
/app/project/R1-12470-1.glm,0 kW,660,1832,20,11.19
"
0,/app/project/R1-12470-2.glm,"/app/project/R5-12470-3.glm,0 kW,1839,4042,182,42.803
/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.867
/app/project/R1-12470-1.glm,0 kW,660,1832,20,10.549
/app/project/R2-12470-3.glm,0 kW,855,1812,11,9.777
/app/project/R3-12470-1.glm,0 kW,764,1513,64,8.905
/app/project/R2-25000-4.glm,0 kW,474,800,72,4.988
/app/project/R1-12470-2.glm,0 kW,366,852,13,4.689
"
0,/app/project/R5-12470-2.glm,"/app/project/8500.glm,0 kW,2526,4876,0,24.001
/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.523
/app/project/R5-25000-6.glm,0 kW,986,1706,14,9.21
/app/project/R3-12470-3.glm,0 kW,2220,5358,108,52.781
/app/project/R2-12470-3.glm,0 kW,855,1812,11,10.009
/app/project/R4-12470-1.glm,0 kW,725,1599,75,9.711
/app/project/R5-12470-4.glm,0 kW,743,1056,32,5.715
/app/project/R5-35000-7.glm,0 kW,434,769,47,4.691
/app/project/R5-12470-2.glm,0 kW,411,638,46,4.114
"
0,/app/project/R1-12470-2.glm,"/app/project/R5-12470-3.glm,0 kW,1839,4042,182,42.709
/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.391
/app/project/R1-12470-1.glm,0 kW,660,1832,20,11.295
/app/project/R2-12470-3.glm,0 kW,855,1812,11,10.109
/app/project/R3-12470-1.glm,0 kW,764,1513,64,9.313
/app/project/R5-12470-4.glm,0 kW,743,1056,32,5.809
/app/project/R1-12470-2.glm,0 kW,366,852,13,4.787
"
0,/app/project/R5-12470-4.glm,"/app/project/R3-12470-3.glm,0 kW,2220,5358,108,53.398
/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.097
/app/project/R1-12470-1.glm,0 kW,660,1832,20,10.587
/app/project/R2-12470-3.glm,0 kW,855,1812,11,9.794
/app/project/R4-12470-1.glm,0 kW,725,1599,75,8.992
/app/project/R5-12470-4.glm,0 kW,743,1056,32,5.692
"
0,/app/project/MO0001.glm,"/app/project/8500.glm,0 kW,2526,4876,0,23.72
/app/project/TMP0009.glm,0 kW,4584,5158,2558,63.311
/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.817
/app/project/MO0001.glm,0 kW,1354,1350,442,8.699
"
0,/app/project/R5-12470-4.glm,"/app/project/R3-12470-3.glm,0 kW,2220,5358,108,54.915
/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.694
/app/project/R5-25000-6.glm,0 kW,986,1706,14,8.785
/app/project/R2-12470-3.glm,0 kW,855,1812,11,9.991
/app/project/R4-12470-1.glm,0 kW,725,1599,75,9.195
/app/project/R5-12470-4.glm,0 kW,743,1056,32,5.83
"
0,/app/project/R4-12470-1.glm,"/app/project/8500.glm,0 kW,2526,4876,0,24.003
/app/project/R3-12470-3.glm,0 kW,2220,5358,108,54.192
/app/project/R5-25000-6.glm,0 kW,986,1706,14,9.298
/app/project/R4-12470-1.glm,0 kW,725,1599,75,9.581
"
