+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+--------+
| Performance                  | Repeat 0                                      | Repeat 1                                      | Repeat 2                                      | Repeat 3                                      | Repeat 4                                      | Repeat 5                                      | Mean     | Std    |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+--------+
| Code templates folder        | code-templates-solardatatools                 |                                               |                                               |                                               |                                               |                                               |          |        |
| Number of nodes              | 32                                            |                                               |                                               |                                               |                                               |                                               |          |        |
| Number of workers            | 32                                            |                                               |                                               |                                               |                                               |                                               |          |        |
| Instance type                | t2.large                                      |                                               |                                               |                                               |                                               |                                               |          |        |
| File name                    | logs-ip1723129113useast2computeinternal-0.csv | logs-ip1723129113useast2computeinternal-1.csv | logs-ip1723129113useast2computeinternal-2.csv | logs-ip1723129113useast2computeinternal-3.csv | logs-ip1723129113useast2computeinternal-4.csv | logs-ip1723129113useast2computeinternal-5.csv |          |        |
| total_tasks                  | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           |          |        |
| average_task_duration        | 19.95                                         | 20.32                                         | 20.34                                         | 20.44                                         | 20.21                                         | 20.64                                         | 20.32    | 0.23   |
| min_duration                 | 0.43                                          | 0.44                                          | 0.45                                          | 0.43                                          | 0.41                                          | 0.44                                          |          |        |
| shortest_task                | PVO/sys_meta.csv/Inverter Power(W)            | PVO/sys_meta.csv/Panel Power(W)               | PVO/sys_meta.csv/Inverter Power(W)            | PVO/sys_meta.csv/Inverter Power(W)            | PVO/sys_meta.csv/Panel Power(W)               | PVO/sys_meta.csv/Panel Power(W)               |          |        |
| max_duration                 | 54.11                                         | 54.59                                         | 55.84                                         | 51.24                                         | 58.37                                         | 63.24                                         |          |        |
| longest_task                 | PVO/PVOutput/6358.csv/Power(W)                | PVO/PVOutput/6576.csv/Power(W)                | PVO/PVOutput/6358.csv/Power(W)                | PVO/PVOutput/14992.csv/Power(W)               | PVO/PVOutput/6358.csv/Power(W)                | PVO/PVOutput/6358.csv/Power(W)                |          |        |
| num_error_task               | 76                                            | 76                                            | 76                                            | 76                                            | 76                                            | 76                                            |          |        |
| num_unfinished_tasks         | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |          |        |
| task_duration_in_parallelism | 414.38                                        | 419.48                                        | 404.93                                        | 397.42                                        | 399.32                                        | 397.45                                        | 405.5    | 9.41   |
| tasks_durtaion_sum           | 12847.63                                      | 13085.76                                      | 13097.82                                      | 13162.49                                      | 13012.62                                      | 13292.56                                      | 13083.15 | 148.87 |
| initial_process_time         | 206.01                                        | 73.71                                         | 56.24                                         | 56.38                                         | 56.01                                         | 48.69                                         | 82.84    | 60.91  |
| total_process_time           | 628.47                                        | 501.27                                        | 471.62                                        | 464.19                                        | 463.31                                        | 454.02                                        | 497.15   | 66.34  |
| effeciencyFactor             | 0.48                                          | 0.49                                          | 0.51                                          | 0.52                                          | 0.51                                          | 0.52                                          | 0.51     | 0.02   |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+--------+
