+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Code templates folder        | code-templates-gridlabdNY                    |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of nodes              | 32                                           |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of workers            | 32                                           |                                              |                                              |                                              |                                              |                                              |         |       |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |       |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |       |
| total_tasks                  | 498                                          | 498                                          | 498                                          | 498                                          | 498                                          | 498                                          |         |       |
| average_task_duration        | 6.57                                         | 6.66                                         | 6.68                                         | 6.52                                         | 6.7                                          | 6.58                                         | 6.62    | 0.07  |
| min_duration                 | 3.47                                         | 3.72                                         | 3.83                                         | 3.53                                         | 3.4                                          | 3.92                                         |         |       |
| shortest_task                | feeder_NY_01/NY_01_4765.glm/None             | feeder_NY_01/NY_01_3873.glm/None             | feeder_NY_01/NY_01_2168.glm/None             | feeder_NY_01/NY_01_5963.glm/None             | feeder_NY_01/NY_01_5864.glm/None             | feeder_NY_01/NY_01_4369.glm/None             |         |       |
| max_duration                 | 22.75                                        | 22.89                                        | 21.63                                        | 22.25                                        | 22.09                                        | 22.6                                         |         |       |
| longest_task                 | feeder_NY_01/NY_01_20653.glm/None            | feeder_NY_01/NY_01_20653.glm/None            | feeder_NY_01/NY_01_20653.glm/None            | feeder_NY_01/NY_01_20655.glm/None            | feeder_NY_01/NY_01_20655.glm/None            | feeder_NY_01/NY_01_20653.glm/None            |         |       |
| num_error_task               | 282                                          | 282                                          | 282                                          | 282                                          | 282                                          | 282                                          |         |       |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |       |
| task_duration_in_parallelism | 59.86                                        | 62.27                                        | 59.38                                        | 60.69                                        | 60.25                                        | 58.98                                        | 60.24   | 1.17  |
| tasks_durtaion_sum           | 3270.59                                      | 3314.81                                      | 3326.02                                      | 3246.13                                      | 3334.49                                      | 3274.75                                      | 3294.47 | 35.52 |
| initial_process_time         | 45.94                                        | 45.9                                         | 46.16                                        | 45.62                                        | 45.89                                        | 45.68                                        | 45.86   | 0.19  |
| total_process_time           | 111.22                                       | 113.6                                        | 110.91                                       | 111.68                                       | 111.51                                       | 110.06                                       | 111.5   | 1.18  |
| effeciencyFactor             | 0.85                                         | 0.83                                         | 0.88                                         | 0.84                                         | 0.86                                         | 0.87                                         | 0.85    | 0.02  |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
