+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |        |
| Number of nodes              | 16                                           |                                              |                                              |                                              |                                              |                                              |         |        |
| Number of workers            | 16                                           |                                              |                                              |                                              |                                              |                                              |         |        |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |        |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |        |
| total_tasks                  | 188                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |        |
| average_task_duration        | 28.82                                        | 22.81                                        | 22.98                                        | 22.99                                        | 22.92                                        | 22.9                                         | 23.9    | 2.41   |
| min_duration                 | 0.61                                         | 0.62                                         | 0.7                                          | 0.5                                          | 0.49                                         | 0.82                                         |         |        |
| shortest_task                | IEEE/37.glm/None                             | IEEE-1/37.glm/None                           | IEEE/37.glm/None                             | IEEE/37.glm/None                             | gridlabd-5/IEEE/37.glm/None                  | IEEE/37.glm/None                             |         |        |
| max_duration                 | 95.9                                         | 85.22                                        | 86.76                                        | 84.76                                        | 85.98                                        | 84.15                                        |         |        |
| longest_task                 | taxonomy/R5-12470-3.glm/None                 | taxonomy/R3-12470-3.glm/None                 | gridlabd-4/taxonomy-1/R3-12470-3.glm/None    | gridlabd-4/taxonomy/R3-12470-3.glm/None      | taxonomy-1/R3-12470-3.glm/None               | gridlabd-4/taxonomy-1/R3-12470-3.glm/None    |         |        |
| num_error_task               | 28                                           | 20                                           | 20                                           | 20                                           | 20                                           | 20                                           |         |        |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |        |
| task_duration_in_parallelism | 217.17                                       | 177.17                                       | 179.88                                       | 173.41                                       | 181.5                                        | 178.6                                        | 184.62  | 16.18  |
| tasks_durtaion_sum           | 5418.38                                      | 4561.68                                      | 4595.87                                      | 4598.58                                      | 4584.64                                      | 4579.41                                      | 4723.09 | 340.88 |
| initial_process_time         | 291.78                                       | 88.91                                        | 56.07                                        | 50.05                                        | 50.56                                        | 51.12                                        | 98.08   | 96.06  |
| total_process_time           | 875.05                                       | 273.74                                       | 241.55                                       | 231.78                                       | 237.78                                       | 235.35                                       | 349.21  | 258.06 |
| effeciencyFactor             | 0.78                                         | 0.8                                          | 0.8                                          | 0.83                                         | 0.79                                         | 0.8                                          | 0.8     | 0.02   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
