+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of nodes              | 20                                           |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of workers            | 20                                           |                                              |                                              |                                              |                                              |                                              |         |       |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |       |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |       |
| total_tasks                  | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |       |
| average_task_duration        | 7.72                                         | 7.71                                         | 7.76                                         | 7.69                                         | 7.75                                         | 7.71                                         | 7.72    | 0.03  |
| min_duration                 | 7.2                                          | 7.21                                         | 7.15                                         | 7.19                                         | 7.24                                         | 7.2                                          |         |       |
| shortest_task                | PVO/PVOutput/26893.csv/Power(W)              | PVO/PVOutput/15408.csv/Power(W)              | PVO/PVOutput/14946.csv/Power(W)              | PVO/PVOutput/22900.csv/Power(W)              | PVO/PVOutput/13968.csv/Power(W)              | PVO/PVOutput/12468.csv/Power(W)              |         |       |
| max_duration                 | 9.07                                         | 12.88                                        | 13.17                                        | 8.71                                         | 12.36                                        | 8.96                                         |         |       |
| longest_task                 | PVO/PVOutput/11544.csv/Power(W)              | PVO/PVOutput/24011.csv/Power(W)              | PVO/PVOutput/10059.csv/Power(W)              | PVO/PVOutput/19411.csv/Power(W)              | PVO/PVOutput/20553.csv/Power(W)              | PVO/PVOutput/10664.csv/Power(W)              |         |       |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |       |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |       |
| task_duration_in_parallelism | 112.32                                       | 113.1                                        | 113.47                                       | 109.29                                       | 107.39                                       | 108.69                                       | 110.71  | 2.57  |
| tasks_durtaion_sum           | 1543.33                                      | 1542.58                                      | 1551.94                                      | 1537.94                                      | 1550.03                                      | 1542.72                                      | 1544.76 | 5.23  |
| initial_process_time         | 273.67                                       | 51.94                                        | 74.64                                        | 44.96                                        | 44.82                                        | 44.51                                        | 89.09   | 91.16 |
| total_process_time           | 391.94                                       | 170.95                                       | 194.08                                       | 160.15                                       | 158.1                                        | 159.17                                       | 205.73  | 92.23 |
| effeciencyFactor             | 0.69                                         | 0.65                                         | 0.59                                         | 0.7                                          | 0.69                                         | 0.71                                         | 0.67    | 0.04  |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
