+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+-------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean     | Std   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+-------+
| Code templates folder        | code-templates-solardatatools                |                                              |                                              |                                              |                                              |                                              |          |       |
| Number of nodes              | 32                                           |                                              |                                              |                                              |                                              |                                              |          |       |
| Number of workers            | 32                                           |                                              |                                              |                                              |                                              |                                              |          |       |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |          |       |
| File name                    | logs-ip172311688useast2computeinternal-0.csv | logs-ip172311688useast2computeinternal-1.csv | logs-ip172311688useast2computeinternal-2.csv | logs-ip172311688useast2computeinternal-3.csv | logs-ip172311688useast2computeinternal-4.csv | logs-ip172311688useast2computeinternal-5.csv |          |       |
| total_tasks                  | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          |          |       |
| average_task_duration        | 22.63                                        | 22.66                                        | 22.81                                        | 22.86                                        | 22.78                                        | 22.99                                        | 22.79    | 0.13  |
| min_duration                 | 18.67                                        | 18.66                                        | 18.75                                        | 18.69                                        | 18.66                                        | 18.72                                        |          |       |
| shortest_task                | PVO/PVOutput/9061.csv/Power(W)               | PVO/PVOutput/21612.csv/Power(W)              | PVO/PVOutput/28835.csv/Power(W)              | PVO/PVOutput/19411.csv/Power(W)              | PVO/PVOutput/42835.csv/Power(W)              | PVO/PVOutput/3250.csv/Power(W)               |          |       |
| max_duration                 | 35.8                                         | 27.1                                         | 26.77                                        | 28.28                                        | 28.57                                        | 49.6                                         |          |       |
| longest_task                 | PVO/PVOutput/42013.csv/Power(W)              | PVO/PVOutput/32533.csv/Power(W)              | PVO/PVOutput/30139.csv/Power(W)              | PVO/PVOutput/1865.csv/Power(W)               | PVO/PVOutput/42154.csv/Power(W)              | PVO/PVOutput/33118.csv/Power(W)              |          |       |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |       |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |       |
| task_duration_in_parallelism | 406.55                                       | 408.41                                       | 402.15                                       | 403.5                                        | 402.96                                       | 390.48                                       | 402.34   | 6.28  |
| tasks_durtaion_sum           | 14571.46                                     | 14593.59                                     | 14688.1                                      | 14718.92                                     | 14672.59                                     | 14803.09                                     | 14674.62 | 84.69 |
| initial_process_time         | 220.3                                        | 71.03                                        | 56.71                                        | 56.74                                        | 56.65                                        | 49.46                                        | 85.15    | 66.58 |
| total_process_time           | 634.84                                       | 487.46                                       | 567.3                                        | 468.2                                        | 467.67                                       | 1968.38                                      | 765.64   | 592.9 |
| effeciencyFactor             | 0.56                                         | 0.56                                         | 0.57                                         | 0.57                                         | 0.57                                         | 0.59                                         | 0.57     | 0.01  |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+-------+
