+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+--------+-------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean   | Std   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+--------+-------+
| Code templates folder        | code-templates-gridlabdNY                    |                                              |                                              |                                              |                                              |                                              |        |       |
| Number of nodes              | 24                                           |                                              |                                              |                                              |                                              |                                              |        |       |
| Number of workers            | 24                                           |                                              |                                              |                                              |                                              |                                              |        |       |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |        |       |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |        |       |
| total_tasks                  | 498                                          | 498                                          | 498                                          | 498                                          | 498                                          | 498                                          |        |       |
| average_task_duration        | 1.85                                         | 1.82                                         | 1.83                                         | 1.82                                         | 1.82                                         | 1.81                                         | 1.83   | 0.01  |
| min_duration                 | 0.28                                         | 0.29                                         | 0.27                                         | 0.25                                         | 0.28                                         | 0.31                                         |        |       |
| shortest_task                | feeder_NY_01/NY_01_301152.glm/None           | feeder_NY_01/NY_01_4765.glm/None             | feeder_NY_01/NY_01_4765.glm/None             | feeder_NY_01/NY_01_4765.glm/None             | feeder_NY_01/NY_01_301152.glm/None           | feeder_NY_01/NY_01_301152.glm/None           |        |       |
| max_duration                 | 11.64                                        | 12.08                                        | 12.08                                        | 12.38                                        | 12.5                                         | 12.49                                        |        |       |
| longest_task                 | feeder_NY_01/NY_01_20655.glm/None            | feeder_NY_01/NY_01_20653.glm/None            | feeder_NY_01/NY_01_20653.glm/None            | feeder_NY_01/NY_01_20653.glm/None            | feeder_NY_01/NY_01_20653.glm/None            | feeder_NY_01/NY_01_20653.glm/None            |        |       |
| num_error_task               | 282                                          | 282                                          | 282                                          | 282                                          | 282                                          | 282                                          |        |       |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |        |       |
| task_duration_in_parallelism | 28.94                                        | 27.97                                        | 28.95                                        | 30.08                                        | 27.13                                        | 26.12                                        | 28.2   | 1.43  |
| tasks_durtaion_sum           | 920.41                                       | 908.85                                       | 910.12                                       | 908.1                                        | 904.35                                       | 902.42                                       | 909.04 | 6.28  |
| initial_process_time         | 278.56                                       | 67.65                                        | 66.7                                         | 59.78                                        | 60.25                                        | 58.67                                        | 98.6   | 88.24 |
| total_process_time           | 313.08                                       | 101.27                                       | 101.19                                       | 95.44                                        | 92.98                                        | 90.33                                        | 132.38 | 88.63 |
| effeciencyFactor             | 0.66                                         | 0.68                                         | 0.65                                         | 0.63                                         | 0.69                                         | 0.72                                         | 0.67   | 0.03  |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+--------+-------+
