+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+---------+
| Performance                  | Repeat 0                                      | Repeat 1                                      | Repeat 2                                      | Repeat 3                                      | Repeat 4                                      | Repeat 5                                      | Mean     | Std     |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+---------+
| Code templates folder        | code-templates-solardatatools                 |                                               |                                               |                                               |                                               |                                               |          |         |
| Number of nodes              | 12                                            |                                               |                                               |                                               |                                               |                                               |          |         |
| Number of workers            | 12                                            |                                               |                                               |                                               |                                               |                                               |          |         |
| Instance type                | t2.large                                      |                                               |                                               |                                               |                                               |                                               |          |         |
| File name                    | logs-ip1723129113useast2computeinternal-0.csv | logs-ip1723129113useast2computeinternal-1.csv | logs-ip1723129113useast2computeinternal-2.csv | logs-ip1723129113useast2computeinternal-3.csv | logs-ip1723129113useast2computeinternal-4.csv | logs-ip1723129113useast2computeinternal-5.csv |          |         |
| total_tasks                  | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           |          |         |
| average_task_duration        | 44.71                                         | 47.86                                         | 45.5                                          | 50.17                                         | 46.1                                          | 47.93                                         | 47.05    | 2.0     |
| min_duration                 | 20.39                                         | 20.73                                         | 17.25                                         | 19.53                                         | 20.57                                         | 20.95                                         |          |         |
| shortest_task                | PVO/PVOutput/9173.csv/Power(W)                | PVO/PVOutput/31826.csv/Power(W)               | PVO/PVOutput/9173.csv/Power(W)                | PVO/PVOutput/9928.csv/Power(W)                | PVO/PVOutput/6251.csv/Power(W)                | PVO/PVOutput/28835.csv/Power(W)               |          |         |
| max_duration                 | 84.52                                         | 89.62                                         | 85.4                                          | 88.1                                          | 84.91                                         | 89.68                                         |          |         |
| longest_task                 | PVO/PVOutput/30139.csv/Power(W)               | PVO/PVOutput/7279.csv/Power(W)                | PVO/PVOutput/16829.csv/Power(W)               | PVO/PVOutput/3368.csv/Power(W)                | PVO/PVOutput/15061.csv/Power(W)               | PVO/PVOutput/31164.csv/Power(W)               |          |         |
| num_error_task               | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |          |         |
| num_unfinished_tasks         | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |          |         |
| task_duration_in_parallelism | 1235.32                                       | 1347.34                                       | 1250.62                                       | 1371.93                                       | 1278.58                                       | 1314.29                                       | 1299.68  | 54.22   |
| tasks_durtaion_sum           | 28790.24                                      | 30823.68                                      | 29304.01                                      | 32310.34                                      | 29688.68                                      | 30869.58                                      | 30297.76 | 1287.26 |
| initial_process_time         | 200.9                                         | 54.22                                         | 54.41                                         | 56.32                                         | 48.77                                         | 56.3                                          | 78.49    | 60.03   |
| total_process_time           | 1444.23                                       | 1409.61                                       | 1313.01                                       | 1442.73                                       | 1335.67                                       | 1382.52                                       | 1387.96  | 54.8    |
| effeciencyFactor             | 0.97                                          | 0.95                                          | 0.98                                          | 0.98                                          | 0.97                                          | 0.98                                          | 0.97     | 0.01    |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+---------+
