+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Code templates folder        | code-templates-solardatatools                |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of nodes              | 8                                            |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of workers            | 8                                            |                                              |                                              |                                              |                                              |                                              |         |       |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |       |
| File name                    | logs-ip172311688useast2computeinternal-0.csv | logs-ip172311688useast2computeinternal-1.csv | logs-ip172311688useast2computeinternal-2.csv | logs-ip172311688useast2computeinternal-3.csv | logs-ip172311688useast2computeinternal-4.csv | logs-ip172311688useast2computeinternal-5.csv |         |       |
| total_tasks                  | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          |         |       |
| average_task_duration        | 21.88                                        | 21.74                                        | 21.64                                        | 21.71                                        | 21.47                                        | 21.53                                        | 21.66   | 0.15  |
| min_duration                 | 0.44                                         | 0.47                                         | 0.44                                         | 0.44                                         | 0.43                                         | 0.42                                         |         |       |
| shortest_task                | PVO/sys_meta.csv/Panel Power(W)              | PVO/sys_meta.csv/Inverter Power(W)           | PVO/sys_meta.csv/Inverter Power(W)           | PVO/sys_meta.csv/Inverter Power(W)           | PVO/sys_meta.csv/Panel Power(W)              | PVO/sys_meta.csv/Inverter Power(W)           |         |       |
| max_duration                 | 68.76                                        | 67.41                                        | 57.29                                        | 66.54                                        | 61.59                                        | 65.19                                        |         |       |
| longest_task                 | PVO/PVOutput/6358.csv/Power(W)               | PVO/PVOutput/6358.csv/Power(W)               | PVO/PVOutput/6358.csv/Power(W)               | PVO/PVOutput/6358.csv/Power(W)               | PVO/PVOutput/6358.csv/Power(W)               | PVO/PVOutput/6358.csv/Power(W)               |         |       |
| num_error_task               | 76                                           | 76                                           | 76                                           | 76                                           | 76                                           | 76                                           |         |       |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |       |
| task_duration_in_parallelism | 922.1                                        | 922.02                                       | 897.92                                       | 927.75                                       | 921.01                                       | 898.1                                        | 914.82  | 13.23 |
| tasks_durtaion_sum           | 14089.34                                     | 14002.79                                     | 13938.59                                     | 13981.62                                     | 13825.29                                     | 13868.36                                     | 13951.0 | 95.44 |
| initial_process_time         | 288.61                                       | 48.48                                        | 49.7                                         | 48.33                                        | 48.14                                        | 74.64                                        | 92.98   | 96.4  |
| total_process_time           | 1218.55                                      | 980.62                                       | 955.4                                        | 983.92                                       | 976.98                                       | 983.49                                       | 1016.49 | 99.56 |
| effeciencyFactor             | 0.95                                         | 0.95                                         | 0.97                                         | 0.94                                         | 0.94                                         | 0.97                                         | 0.95    | 0.01  |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
