+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of nodes              | 32                                           |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of workers            | 32                                           |                                              |                                              |                                              |                                              |                                              |         |       |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |       |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |       |
| total_tasks                  | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |       |
| average_task_duration        | 22.92                                        | 22.36                                        | 22.16                                        | 22.15                                        | 22.21                                        | 22.25                                        | 22.34   | 0.29  |
| min_duration                 | 0.6                                          | 0.58                                         | 0.56                                         | 0.4                                          | 0.8                                          | 0.54                                         |         |       |
| shortest_task                | IEEE-1/37.glm/None                           | IEEE/37.glm/None                             | IEEE/37.glm/None                             | gridlabd-4/IEEE/37.glm/None                  | IEEE/37.glm/None                             | IEEE-1/37.glm/None                           |         |       |
| max_duration                 | 101.93                                       | 81.51                                        | 78.17                                        | 82.45                                        | 78.66                                        | 79.02                                        |         |       |
| longest_task                 | PG&E-1/TMP0009.glm/None                      | PG&E/TMP0009.glm/None                        | PG&E-1/TMP0009.glm/None                      | gridlabd-5/PG&E/TMP0009.glm/None             | PG&E-1/TMP0009.glm/None                      | gridlabd-4/PG&E-1/TMP0009.glm/None           |         |       |
| num_error_task               | 22                                           | 20                                           | 23                                           | 22                                           | 21                                           | 22                                           |         |       |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |       |
| task_duration_in_parallelism | 109.55                                       | 112.91                                       | 110.98                                       | 107.06                                       | 111.75                                       | 111.39                                       | 110.61  | 2.05  |
| tasks_durtaion_sum           | 4583.59                                      | 4471.55                                      | 4431.99                                      | 4430.38                                      | 4441.35                                      | 4450.13                                      | 4468.16 | 58.51 |
| initial_process_time         | 147.3                                        | 55.91                                        | 57.9                                         | 50.44                                        | 51.0                                         | 50.53                                        | 68.85   | 38.56 |
| total_process_time           | 262.58                                       | 174.26                                       | 174.83                                       | 162.91                                       | 168.32                                       | 167.71                                       | 185.1   | 38.22 |
| effeciencyFactor             | 0.65                                         | 0.62                                         | 0.62                                         | 0.65                                         | 0.62                                         | 0.62                                         | 0.63    | 0.02  |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
