+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+---------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std     |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+---------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |         |
| Number of nodes              | 1                                            |                                              |                                              |                                              |                                              |                                              |         |         |
| Number of workers            | 1                                            |                                              |                                              |                                              |                                              |                                              |         |         |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |         |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |         |
| total_tasks                  | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |         |
| average_task_duration        | 8.36                                         | 8.27                                         | 8.33                                         | 18.48                                        | 19.68                                        | 19.26                                        | 13.73   | 5.94    |
| min_duration                 | 8.13                                         | 8.03                                         | 8.1                                          | 8.09                                         | 8.15                                         | 8.26                                         |         |         |
| shortest_task                | PVO/PVOutput/27489.csv/Power(W)              | PVO/PVOutput/26918.csv/Power(W)              | PVO/PVOutput/19147.csv/Power(W)              | PVO/PVOutput/20423.csv/Power(W)              | PVO/PVOutput/24270.csv/Power(W)              | PVO/PVOutput/16642.csv/Power(W)              |         |         |
| max_duration                 | 9.13                                         | 8.88                                         | 9.2                                          | 33.7                                         | 35.78                                        | 35.82                                        |         |         |
| longest_task                 | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10877.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/13951.csv/Power(W)              | PVO/PVOutput/11329.csv/Power(W)              | PVO/PVOutput/11544.csv/Power(W)              |         |         |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |         |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |         |
| task_duration_in_parallelism | 842.01                                       | 834.37                                       | 839.51                                       | 1859.88                                      | 1978.92                                      | 1936.76                                      | 1381.91 | 596.36  |
| tasks_durtaion_sum           | 1671.14                                      | 1654.81                                      | 1665.85                                      | 3696.61                                      | 3935.71                                      | 3851.87                                      | 2746.0  | 1187.84 |
| initial_process_time         | 424.28                                       | 44.37                                        | 44.17                                        | 44.15                                        | 44.77                                        | 54.74                                        | 109.41  | 154.31  |
| total_process_time           | 1272.53                                      | 884.76                                       | 889.75                                       | 1910.02                                      | 2029.81                                      | 1997.73                                      | 1497.43 | 547.57  |
| effeciencyFactor             | 0.99                                         | 0.99                                         | 0.99                                         | 0.99                                         | 0.99                                         | 0.99                                         | 0.99    | 0.0     |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+---------+
