+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+---------+---------+
| Performance                  | Repeat 0                                      | Repeat 1                                      | Repeat 2                                      | Repeat 3                                      | Repeat 4                                      | Repeat 5                                      | Mean    | Std     |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+---------+---------+
| Code templates folder        | code-templates-solardatatools                 |                                               |                                               |                                               |                                               |                                               |         |         |
| Number of nodes              | 10                                            |                                               |                                               |                                               |                                               |                                               |         |         |
| Number of workers            | 10                                            |                                               |                                               |                                               |                                               |                                               |         |         |
| Instance type                | t2.large                                      |                                               |                                               |                                               |                                               |                                               |         |         |
| File name                    | logs-ip1723129113useast2computeinternal-0.csv | logs-ip1723129113useast2computeinternal-1.csv | logs-ip1723129113useast2computeinternal-2.csv | logs-ip1723129113useast2computeinternal-3.csv | logs-ip1723129113useast2computeinternal-4.csv | logs-ip1723129113useast2computeinternal-5.csv |         |         |
| total_tasks                  | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           |         |         |
| average_task_duration        | 24.22                                         | 24.01                                         | 24.04                                         | 24.18                                         | 30.88                                         | 47.29                                         | 29.1    | 9.31    |
| min_duration                 | 19.76                                         | 19.83                                         | 13.21                                         | 20.43                                         | 19.59                                         | 13.35                                         |         |         |
| shortest_task                | PVO/PVOutput/16846.csv/Power(W)               | PVO/PVOutput/9489.csv/Power(W)                | PVO/PVOutput/46354.csv/Power(W)               | PVO/PVOutput/7666.csv/Power(W)                | PVO/PVOutput/9497.csv/Power(W)                | PVO/PVOutput/6416.csv/Power(W)                |         |         |
| max_duration                 | 40.68                                         | 31.52                                         | 29.75                                         | 33.13                                         | 79.87                                         | 89.2                                          |         |         |
| longest_task                 | PVO/PVOutput/15096.csv/Power(W)               | PVO/PVOutput/41201.csv/Power(W)               | PVO/PVOutput/42835.csv/Power(W)               | PVO/PVOutput/19411.csv/Power(W)               | PVO/PVOutput/6593.csv/Power(W)                | PVO/PVOutput/24011.csv/Power(W)               |         |         |
| num_error_task               | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |         |         |
| num_unfinished_tasks         | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |         |         |
| task_duration_in_parallelism | 805.83                                        | 800.99                                        | 795.82                                        | 804.18                                        | 1050.97                                       | 1588.04                                       | 974.31  | 316.79  |
| tasks_durtaion_sum           | 15598.21                                      | 15465.1                                       | 15480.96                                      | 15569.13                                      | 19885.83                                      | 30451.59                                      | 18741.8 | 5995.76 |
| initial_process_time         | 226.38                                        | 56.08                                         | 49.13                                         | 48.95                                         | 48.94                                         | 57.42                                         | 81.15   | 71.25   |
| total_process_time           | 1040.39                                       | 865.19                                        | 852.99                                        | 861.18                                        | 1109.64                                       | 1658.02                                       | 1064.57 | 310.06  |
| effeciencyFactor             | 0.97                                          | 0.97                                          | 0.97                                          | 0.97                                          | 0.95                                          | 0.96                                          | 0.96    | 0.01    |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+---------+---------+
