+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |        |
| Number of nodes              | 32                                           |                                              |                                              |                                              |                                              |                                              |         |        |
| Number of workers            | 32                                           |                                              |                                              |                                              |                                              |                                              |         |        |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |        |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |        |
| total_tasks                  | 189                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |        |
| average_task_duration        | 9.35                                         | 8.74                                         | 8.73                                         | 8.85                                         | 8.71                                         | 8.66                                         | 8.84    | 0.26   |
| min_duration                 | 0.33                                         | 0.28                                         | 0.37                                         | 0.33                                         | 0.32                                         | 0.31                                         |         |        |
| shortest_task                | gridlabd-5/IEEE/37.glm/None                  | gridlabd-5/IEEE/37.glm/None                  | gridlabd-4/IEEE-1/37.glm/None                | gridlabd-5/IEEE/37.glm/None                  | gridlabd-5/IEEE/37.glm/None                  | gridlabd-5/IEEE/37.glm/None                  |         |        |
| max_duration                 | 142.96                                       | 96.99                                        | 101.07                                       | 97.96                                        | 97.68                                        | 97.01                                        |         |        |
| longest_task                 | gridlabd-4/PG&E-1/MC0006.glm/None            | gridlabd-5/PG&E/MC0006.glm/None              | PG&E-1/MC0006.glm/None                       | PG&E/MC0006.glm/None                         | PG&E/MC0006.glm/None                         | PG&E/MC0006.glm/None                         |         |        |
| num_error_task               | 8                                            | 5                                            | 5                                            | 5                                            | 5                                            | 5                                            |         |        |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |        |
| task_duration_in_parallelism | 144.47                                       | 102.97                                       | 101.57                                       | 102.21                                       | 101.91                                       | 99.61                                        | 108.79  | 17.52  |
| tasks_durtaion_sum           | 1767.42                                      | 1748.44                                      | 1746.54                                      | 1770.86                                      | 1742.64                                      | 1732.76                                      | 1751.44 | 14.78  |
| initial_process_time         | 316.92                                       | 55.0                                         | 52.56                                        | 54.98                                        | 47.62                                        | 47.37                                        | 95.74   | 108.41 |
| total_process_time           | 827.47                                       | 164.27                                       | 162.55                                       | 165.43                                       | 157.73                                       | 152.38                                       | 271.64  | 272.34 |
| effeciencyFactor             | 0.2                                          | 0.27                                         | 0.27                                         | 0.27                                         | 0.27                                         | 0.27                                         | 0.26    | 0.03   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
