+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean     | Std     |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
| Code templates folder        | code-templates-solardatatools                |                                              |                                              |                                              |                                              |                                              |          |         |
| Number of nodes              | 36                                           |                                              |                                              |                                              |                                              |                                              |          |         |
| Number of workers            | 36                                           |                                              |                                              |                                              |                                              |                                              |          |         |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |          |         |
| File name                    | logs-ip172311688useast2computeinternal-0.csv | logs-ip172311688useast2computeinternal-1.csv | logs-ip172311688useast2computeinternal-2.csv | logs-ip172311688useast2computeinternal-3.csv | logs-ip172311688useast2computeinternal-4.csv | logs-ip172311688useast2computeinternal-5.csv |          |         |
| total_tasks                  | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          |          |         |
| average_task_duration        | 25.2                                         | 31.75                                        | 34.9                                         | 34.49                                        | 31.16                                        | 30.86                                        | 31.39    | 3.48    |
| min_duration                 | 12.05                                        | 18.7                                         | 18.75                                        | 18.71                                        | 18.75                                        | 18.67                                        |          |         |
| shortest_task                | PVO/PVOutput/21179.csv/Power(W)              | PVO/PVOutput/41870.csv/Power(W)              | PVO/PVOutput/3152.csv/Power(W)               | PVO/PVOutput/43305.csv/Power(W)              | PVO/PVOutput/26918.csv/Power(W)              | PVO/PVOutput/45505.csv/Power(W)              |          |         |
| max_duration                 | 76.6                                         | 92.16                                        | 85.97                                        | 86.86                                        | 89.11                                        | 88.86                                        |          |         |
| longest_task                 | PVO/PVOutput/36066.csv/Power(W)              | PVO/PVOutput/33758.csv/Power(W)              | PVO/PVOutput/41431.csv/Power(W)              | PVO/PVOutput/17248.csv/Power(W)              | PVO/PVOutput/25441.csv/Power(W)              | PVO/PVOutput/5619.csv/Power(W)               |          |         |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |         |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |         |
| task_duration_in_parallelism | 426.92                                       | 475.82                                       | 488.07                                       | 508.16                                       | 505.42                                       | 520.2                                        | 487.43   | 33.54   |
| tasks_durtaion_sum           | 16228.07                                     | 20444.29                                     | 22477.72                                     | 22212.79                                     | 20066.64                                     | 19872.66                                     | 20217.03 | 2244.92 |
| initial_process_time         | 206.62                                       | 73.0                                         | 55.04                                        | 56.73                                        | 54.89                                        | 56.62                                        | 83.82    | 60.56   |
| total_process_time           | 641.62                                       | 557.98                                       | 551.01                                       | 572.89                                       | 568.14                                       | 585.99                                       | 579.61   | 32.71   |
| effeciencyFactor             | 0.55                                         | 0.66                                         | 0.7                                          | 0.65                                         | 0.58                                         | 0.58                                         | 0.62     | 0.06    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
