,bucket,file,column,solver,length,capacity_estimate,power_units,data_sampling,data_quality_score,data_clearness_score,time_shifts,num_clip_points,tz_correction,inverter_clipping,normal_quality_scores,capacity_changes
0,pv.insight.nrel,PVO/PVOutput/10284.csv,Power(W),MOSEK,4.99,3.38,W,5,97.8,14.4,False,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/10059.csv,Power(W),MOSEK,4.41,5.28,W,5,98.4,31.8,True,0,-2,False,True,False
0,pv.insight.nrel,PVO/PVOutput/11365.csv,Power(W),MOSEK,1.39,3.27,W,5,92.3,19.1,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/10858.csv,Power(W),MOSEK,4.95,4.02,W,5,97.5,49.3,True,0,0,False,True,True
0,pv.insight.nrel,PVO/PVOutput/11019.csv,Power(W),MOSEK,4.94,3.81,W,5,90.8,17.6,True,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/10795.csv,Power(W),MOSEK,4.96,16.7,W,5,94.6,23.1,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/10807.csv,Power(W),MOSEK,4.92,4.76,W,5,59.3,9.4,False,0,-1,False,False,True
0,pv.insight.nrel,PVO/PVOutput/1095.csv,Power(W),MOSEK,5.99,1.6,W,5,78.7,19.1,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/10664.csv,Power(W),MOSEK,4.97,6.85,W,5,91.8,18.1,True,0,0,False,True,True
0,pv.insight.nrel,PVO/PVOutput/11105.csv,Power(W),MOSEK,4.92,4.07,W,5,91.4,26.0,True,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/11285.csv,Power(W),MOSEK,4.94,2.48,W,5,28.8,0.3,True,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/10877.csv,Power(W),MOSEK,4.95,4.8,W,5,88.7,14.8,False,0,0,False,True,True
0,pv.insight.nrel,PVO/PVOutput/11526.csv,Power(W),MOSEK,3.99,4.88,W,5,65.9,30.5,True,0,0,False,False,False
1,pv.insight.nrel,PVO/PVOutput/10940.csv,Power(W),MOSEK,4.95,4.49,W,5,90.5,21.4,True,0,0,False,True,True
0,pv.insight.nrel,PVO/PVOutput/11827.csv,Power(W),MOSEK,4.88,4.34,W,5,52.6,25.4,True,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/12535.csv,Power(W),MOSEK,4.5,7.53,W,5,95.9,11.3,True,0,-1,False,True,True
0,pv.insight.nrel,PVO/PVOutput/11699.csv,Power(W),MOSEK,4.88,3.56,W,5,95.9,23.1,True,0,0,False,True,True
0,pv.insight.nrel,PVO/PVOutput/11329.csv,Power(W),MOSEK,4.77,1.28,W,5,94.4,51.5,False,0,0,False,True,True
0,pv.insight.nrel,PVO/PVOutput/12010.csv,Power(W),MOSEK,4.85,5.09,W,5,85.4,17.2,True,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/12468.csv,Power(W),MOSEK,4.41,7.43,W,5,97.2,6.2,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/10010.csv,Power(W),MOSEK,5.03,4.71,W,5,96.6,17.5,False,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/12302.csv,Power(W),MOSEK,4.82,4.73,W,5,98.5,53.3,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/12043.csv,Power(W),MOSEK,4.72,3.55,W,5,82.3,19.6,True,1,-1,True,True,True
0,pv.insight.nrel,PVO/PVOutput/11544.csv,Power(W),MOSEK,2.98,6.04,W,5,68.4,17.2,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/12417.csv,Power(W),MOSEK,4.81,3.79,W,5,93.5,56.7,True,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/12970.csv,Power(W),MOSEK,4.58,3.39,W,5,97.5,56.1,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/1421.csv,Power(W),MOSEK,6.35,2.52,W,5,41.0,9.7,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/13869.csv,Power(W),MOSEK,4.59,3.7,W,5,93.7,20.1,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/14064.csv,Power(W),MOSEK,4.24,7.18,W,5,93.7,23.4,True,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/14868.csv,Power(W),MOSEK,355.0,7.38,W,5,70.4,11.3,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/13106.csv,Power(W),MOSEK,3.99,4.86,W,5,70.6,24.8,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/14320.csv,Power(W),MOSEK,4.63,13.72,W,10,89.0,6.8,True,0,-1,False,False,True
0,pv.insight.nrel,PVO/PVOutput/10838.csv,Power(W),MOSEK,4.96,4.62,W,5,95.6,17.2,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/12949.csv,Power(W),MOSEK,4.77,2.86,W,5,65.6,12.8,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/13521.csv,Power(W),MOSEK,4.72,1.88,W,5,94.6,46.4,True,0,-1,False,False,False
0,pv.insight.nrel,PVO/PVOutput/11839.csv,Power(W),MOSEK,4.87,3.81,W,5,94.9,20.6,False,0,0,False,False,True
0,pv.insight.nrel,PVO/PVOutput/13794.csv,Power(W),MOSEK,4.69,3.38,W,5,95.4,51.3,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/12693.csv,Power(W),MOSEK,4.79,4.77,W,10,71.6,41.4,True,0,1,False,False,False
0,pv.insight.nrel,PVO/PVOutput/13640.csv,Power(W),MOSEK,4.44,4.58,W,5,95.3,44.7,False,1,0,True,True,False
1,pv.insight.nrel,PVO/PVOutput/13951.csv,Power(W),MOSEK,4.68,4.39,W,5,96.9,21.9,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/14564.csv,Power(W),MOSEK,4.62,5.86,W,5,98.8,44.2,False,0,0,False,True,False
1,pv.insight.nrel,PVO/PVOutput/1533.csv,Power(W),MOSEK,3.62,10.5,W,5,94.7,26.4,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/15596.csv,Power(W),MOSEK,1.26,2.24,W,5,97.6,24.6,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/14946.csv,Power(W),MOSEK,4.59,31.32,W,5,14.5,4.4,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/14298.csv,Power(W),MOSEK,4.65,7.48,W,5,98.4,53.4,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/14455.csv,Power(W),MOSEK,3.74,3.38,W,5,90.5,13.6,True,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/15096.csv,Power(W),MOSEK,4.58,2.66,W,5,85.0,15.1,False,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/15061.csv,Power(W),MOSEK,4.56,7.63,W,5,60.3,16.4,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/1519.csv,Power(W),MOSEK,4.93,7.25,W,5,88.1,15.4,False,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/1384.csv,Power(W),MOSEK,6.37,2.12,W,5,79.2,15.2,True,2,0,True,True,True
0,pv.insight.nrel,PVO/PVOutput/13968.csv,Power(W),MOSEK,4.68,5.22,W,5,9.8,3.2,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/14077.csv,Power(W),MOSEK,4.67,2.45,W,5,96.8,26.8,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/16908.csv,Power(W),MOSEK,4.42,3.04,W,5,96.6,39.6,False,1,0,True,False,False
0,pv.insight.nrel,PVO/PVOutput/16846.csv,Power(W),MOSEK,4.42,3.41,W,5,98.5,51.4,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/16829.csv,Power(W),MOSEK,4.39,3.27,W,5,93.8,34.5,False,1,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/14992.csv,Power(W),MOSEK,4.59,3.46,W,5,99.1,61.0,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/16947.csv,Power(W),MOSEK,4.41,6.16,W,5,96.6,16.6,True,1,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/17216.csv,Power(W),MOSEK,4.06,4.72,W,5,97.4,50.2,False,0,-1,False,True,False
1,pv.insight.nrel,PVO/PVOutput/15932.csv,Power(W),MOSEK,4.5,5.85,W,5,93.1,53.3,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/14997.csv,Power(W),MOSEK,4.59,4.63,W,5,88.5,18.1,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/16698.csv,Power(W),MOSEK,4.44,4.7,W,5,92.1,46.1,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/16970.csv,Power(W),MOSEK,4.33,9.63,W,5,95.2,21.4,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/16478.csv,Power(W),MOSEK,3.21,7.06,W,5,5.7,1.2,True,0,3,False,True,False
0,pv.insight.nrel,PVO/PVOutput/18415.csv,Power(W),MOSEK,4.16,8.41,W,5,93.9,38.6,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/16470.csv,Power(W),MOSEK,4.41,5.74,W,5,93.2,17.2,False,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/18731.csv,Power(W),MOSEK,3.99,3.54,W,5,97.3,26.9,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/13843.csv,Power(W),MOSEK,4.69,7.45,W,5,84.1,23.9,True,0,-1,False,False,False
0,pv.insight.nrel,PVO/PVOutput/16164.csv,Power(W),MOSEK,4.48,6.44,W,5,93.1,52.9,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/18167.csv,Power(W),MOSEK,4.32,45.31,W,5,95.2,15.0,True,0,-1,False,True,True
0,pv.insight.nrel,PVO/PVOutput/17152.csv,Power(W),MOSEK,4.03,7.64,W,5,80.7,27.3,True,0,-2,False,False,True
0,pv.insight.nrel,PVO/PVOutput/17026.csv,Power(W),MOSEK,4.41,5.21,W,5,94.6,23.7,True,1,0,True,True,True
0,pv.insight.nrel,PVO/PVOutput/18827.csv,Power(W),MOSEK,4.27,7.09,W,5,76.3,15.1,True,0,0,False,False,True
0,pv.insight.nrel,PVO/PVOutput/18219.csv,Power(W),MOSEK,2.17,6.32,W,5,94.9,22.0,True,1,-1,True,True,False
0,pv.insight.nrel,PVO/PVOutput/17248.csv,Power(W),MOSEK,4.39,8.7,W,5,90.2,17.7,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/15408.csv,Power(W),MOSEK,4.55,1.9,W,5,97.4,56.9,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/18410.csv,Power(W),MOSEK,4.3,7.54,W,5,93.9,19.6,False,1,0,True,False,True
0,pv.insight.nrel,PVO/PVOutput/15650.csv,Power(W),MOSEK,4.53,5.95,W,5,91.3,20.1,True,2,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/19411.csv,Power(W),MOSEK,4.18,13.82,W,5,96.3,15.6,False,1,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/19412.csv,Power(W),MOSEK,4.22,6.43,W,5,99.4,55.1,True,0,-1,False,True,True
0,pv.insight.nrel,PVO/PVOutput/19624.csv,Power(W),MOSEK,4.26,4.03,W,5,94.1,58.1,True,0,0,False,True,True
0,pv.insight.nrel,PVO/PVOutput/16642.csv,Power(W),MOSEK,4.44,3.29,W,5,98.8,47.5,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/16938.csv,Power(W),MOSEK,4.06,4.42,W,5,99.6,58.5,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/19147.csv,Power(W),MOSEK,2.99,4.03,W,5,30.2,10.8,True,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/15386.csv,Power(W),MOSEK,4.56,3.43,W,5,98.1,21.5,True,0,-1,False,True,True
0,pv.insight.nrel,PVO/PVOutput/20447.csv,Power(W),MOSEK,4.13,5.28,W,5,92.1,22.6,True,2,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/19005.csv,Power(W),MOSEK,3.99,3.59,W,5,91.5,52.5,True,0,-1,False,True,True
0,pv.insight.nrel,PVO/PVOutput/19275.csv,Power(W),MOSEK,4.23,1.77,W,5,95.0,57.9,True,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/1865.csv,Power(W),MOSEK,6.11,6.12,W,5,94.6,16.0,True,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/16411.csv,Power(W),MOSEK,4.46,3.87,W,5,85.4,37.4,True,0,0,False,False,True
0,pv.insight.nrel,PVO/PVOutput/19238.csv,Power(W),MOSEK,4.24,5.63,W,5,99.0,59.3,False,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/18942.csv,Power(W),MOSEK,4.28,19.05,W,5,75.2,12.6,False,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/2088.csv,Power(W),MOSEK,5.42,5.41,W,5,93.5,17.8,True,1,-1,True,True,False
0,pv.insight.nrel,PVO/PVOutput/19098.csv,Power(W),MOSEK,4.25,2.55,W,5,71.6,34.3,True,0,-1,False,False,False
0,pv.insight.nrel,PVO/PVOutput/1740.csv,Power(W),MOSEK,6.27,8.81,W,5,87.9,12.4,False,1,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/18905.csv,Power(W),MOSEK,3.99,340.0,kW,5,19.6,1.9,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/19068.csv,Power(W),MOSEK,4.25,8.51,W,10,36.8,7.2,False,0,0,False,True,False
1,pv.insight.nrel,PVO/PVOutput/20485.csv,Power(W),MOSEK,4.13,4.04,W,5,97.0,58.0,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/20188.csv,Power(W),MOSEK,3.93,2.28,W,5,16.2,0.3,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/18073.csv,Power(W),MOSEK,4.31,19.58,W,5,93.3,18.5,False,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/19806.csv,Power(W),MOSEK,3.99,5.0,W,5,90.2,54.2,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/19618.csv,Power(W),MOSEK,4.25,1.57,W,5,1.5,0.0,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/20123.csv,Power(W),MOSEK,2.85,11.6,W,5,69.5,8.5,True,0,0,False,False,True
0,pv.insight.nrel,PVO/PVOutput/20553.csv,Power(W),MOSEK,4.12,3.05,W,5,98.7,58.2,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/23263.csv,Power(W),MOSEK,3.89,7.64,W,5,91.0,24.7,False,1,-1,True,True,False
0,pv.insight.nrel,PVO/PVOutput/20844.csv,Power(W),MOSEK,4.1,4.05,W,5,72.1,13.4,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/22900.csv,Power(W),MOSEK,3.81,6.51,W,5,93.3,34.8,True,1,-1,True,True,False
0,pv.insight.nrel,PVO/PVOutput/19310.csv,Power(W),MOSEK,3.28,7.49,W,5,95.4,22.6,False,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/19227.csv,Power(W),MOSEK,3.81,6.64,W,5,87.3,6.7,False,1,0,True,False,False
0,pv.insight.nrel,PVO/PVOutput/21612.csv,Power(W),MOSEK,3.99,4.34,W,5,91.5,16.3,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/21233.csv,Power(W),MOSEK,4.0,1.98,W,5,96.9,9.4,False,0,0,False,False,True
0,pv.insight.nrel,PVO/PVOutput/24479.csv,Power(W),MOSEK,3.76,4.93,W,5,90.9,13.3,False,1,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/23118.csv,Power(W),MOSEK,3.9,4.5,W,5,88.4,18.0,True,2,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/24180.csv,Power(W),MOSEK,2.51,4.99,W,5,96.2,25.7,True,0,-2,False,True,False
0,pv.insight.nrel,PVO/PVOutput/21529.csv,Power(W),MOSEK,3.99,2.82,W,5,99.7,14.7,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/17857.csv,Power(W),MOSEK,4.35,2.81,W,5,95.8,55.0,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/24195.csv,Power(W),MOSEK,2.99,8.51,W,5,37.3,4.0,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/20995.csv,Power(W),MOSEK,3.99,6.22,W,5,66.7,13.4,True,3,0,True,False,False
0,pv.insight.nrel,PVO/PVOutput/23162.csv,Power(W),MOSEK,3.9,6.49,W,5,89.7,21.1,False,3,0,True,True,True
0,pv.insight.nrel,PVO/PVOutput/24304.csv,Power(W),MOSEK,3.78,5.38,W,5,93.0,46.4,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/20954.csv,Power(W),MOSEK,4.1,3.02,W,5,97.6,51.4,True,0,-1,False,True,True
0,pv.insight.nrel,PVO/PVOutput/20945.csv,Power(W),MOSEK,4.1,9.8,W,5,95.6,26.4,True,0,2,False,True,True
0,pv.insight.nrel,PVO/PVOutput/24562.csv,Power(W),MOSEK,3.52,6.12,W,5,88.0,32.3,True,0,-2,False,True,True
0,pv.insight.nrel,PVO/PVOutput/20215.csv,Power(W),MOSEK,4.15,6.34,W,5,97.6,29.1,False,1,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/23622.csv,Power(W),MOSEK,3.24,8.51,W,5,87.6,12.2,False,2,0,True,False,False
0,pv.insight.nrel,PVO/PVOutput/24270.csv,Power(W),MOSEK,2.85,3.42,W,5,0.3,0.3,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/21179.csv,Power(W),MOSEK,4.08,2.21,W,5,91.5,23.4,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/2312.csv,Power(W),MOSEK,3.64,5.61,W,5,37.8,25.1,True,0,-1,False,False,False
0,pv.insight.nrel,PVO/PVOutput/21403.csv,Power(W),MOSEK,4.0,5.19,W,5,89.5,23.6,False,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/21360.csv,Power(W),MOSEK,3.99,3.85,W,10,99.6,50.1,True,0,-1,False,True,True
0,pv.insight.nrel,PVO/PVOutput/25886.csv,Power(W),MOSEK,2.15,7.33,W,5,94.5,25.7,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/25948.csv,Power(W),MOSEK,3.46,3.15,W,5,95.5,18.1,False,2,0,True,True,True
0,pv.insight.nrel,PVO/PVOutput/25601.csv,Power(W),MOSEK,3.42,6.33,W,5,97.8,56.9,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/24277.csv,Power(W),MOSEK,3.79,3.77,W,5,98.8,62.1,True,0,0,False,True,False
1,pv.insight.nrel,PVO/PVOutput/21580.csv,Power(W),MOSEK,4.05,7.26,W,5,87.3,23.5,False,0,-1,False,False,True
