+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of nodes              | 20                                           |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of workers            | 20                                           |                                              |                                              |                                              |                                              |                                              |         |       |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |       |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |       |
| total_tasks                  | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |       |
| average_task_duration        | 8.5                                          | 7.7                                          | 7.68                                         | 7.72                                         | 7.66                                         | 7.88                                         | 7.86    | 0.32  |
| min_duration                 | 7.22                                         | 7.23                                         | 7.2                                          | 7.2                                          | 7.23                                         | 7.23                                         |         |       |
| shortest_task                | PVO/PVOutput/13964.csv/Power(W)              | PVO/PVOutput/22194.csv/Power(W)              | PVO/PVOutput/20393.csv/Power(W)              | PVO/PVOutput/15061.csv/Power(W)              | PVO/PVOutput/12535.csv/Power(W)              | PVO/PVOutput/21233.csv/Power(W)              |         |       |
| max_duration                 | 30.59                                        | 12.7                                         | 13.18                                        | 16.67                                        | 8.29                                         | 20.45                                        |         |       |
| longest_task                 | PVO/PVOutput/24479.csv/Power(W)              | PVO/PVOutput/18731.csv/Power(W)              | PVO/PVOutput/11285.csv/Power(W)              | PVO/PVOutput/27168.csv/Power(W)              | PVO/PVOutput/10284.csv/Power(W)              | PVO/PVOutput/20447.csv/Power(W)              |         |       |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |       |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |       |
| task_duration_in_parallelism | 159.58                                       | 119.7                                        | 110.44                                       | 115.64                                       | 109.72                                       | 122.81                                       | 122.98  | 18.64 |
| tasks_durtaion_sum           | 1699.5                                       | 1540.1                                       | 1536.24                                      | 1544.11                                      | 1531.63                                      | 1576.02                                      | 1571.27 | 64.77 |
| initial_process_time         | 271.06                                       | 132.4                                        | 51.94                                        | 44.55                                        | 44.94                                        | 44.96                                        | 98.31   | 91.37 |
| total_process_time           | 436.74                                       | 258.06                                       | 168.36                                       | 168.23                                       | 160.72                                       | 173.71                                       | 227.64  | 108.7 |
| effeciencyFactor             | 0.48                                         | 0.61                                         | 0.66                                         | 0.67                                         | 0.7                                          | 0.53                                         | 0.61    | 0.09  |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
