+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of nodes              | 16                                           |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of workers            | 16                                           |                                              |                                              |                                              |                                              |                                              |         |       |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |       |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |       |
| total_tasks                  | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |       |
| average_task_duration        | 9.9                                          | 10.12                                        | 10.15                                        | 10.14                                        | 10.12                                        | 9.86                                         | 10.05   | 0.13  |
| min_duration                 | 0.19                                         | 0.4                                          | 0.38                                         | 0.41                                         | 0.39                                         | 0.18                                         |         |       |
| shortest_task                | PG&E/HL0004.glm/None                         | IEEE/37.glm/None                             | IEEE/37.glm/None                             | IEEE/37.glm/None                             | IEEE/37.glm/None                             | PG&E/MC0001.glm/None                         |         |       |
| max_duration                 | 223.52                                       | 223.36                                       | 223.97                                       | 223.28                                       | 224.56                                       | 224.42                                       |         |       |
| longest_task                 | PG&E/MC0006.glm/None                         | PG&E/MC0006.glm/None                         | PG&E/MC0006.glm/None                         | PG&E/MC0006.glm/None                         | PG&E/MC0006.glm/None                         | PG&E/MC0006.glm/None                         |         |       |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |       |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |       |
| task_duration_in_parallelism | 447.52                                       | 444.49                                       | 447.31                                       | 443.82                                       | 449.13                                       | 448.69                                       | 446.83  | 2.19  |
| tasks_durtaion_sum           | 1980.86                                      | 2024.4                                       | 2029.24                                      | 2028.03                                      | 2024.86                                      | 1972.27                                      | 2009.94 | 26.06 |
| initial_process_time         | 262.67                                       | 51.57                                        | 51.27                                        | 45.41                                        | 44.2                                         | 44.13                                        | 83.21   | 87.98 |
| total_process_time           | 715.63                                       | 501.5                                        | 504.62                                       | 494.67                                       | 498.81                                       | 498.28                                       | 535.59  | 88.27 |
| effeciencyFactor             | 0.14                                         | 0.14                                         | 0.14                                         | 0.14                                         | 0.14                                         | 0.14                                         | 0.14    | 0.0   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
