+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+--------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean     | Std    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+--------+
| Code templates folder        | code-templates-solardatatools                |                                              |                                              |                                              |                                              |                                              |          |        |
| Number of nodes              | 48                                           |                                              |                                              |                                              |                                              |                                              |          |        |
| Number of workers            | 48                                           |                                              |                                              |                                              |                                              |                                              |          |        |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |          |        |
| File name                    | logs-ip172311688useast2computeinternal-0.csv | logs-ip172311688useast2computeinternal-1.csv | logs-ip172311688useast2computeinternal-2.csv | logs-ip172311688useast2computeinternal-3.csv | logs-ip172311688useast2computeinternal-4.csv | logs-ip172311688useast2computeinternal-5.csv |          |        |
| total_tasks                  | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          |          |        |
| average_task_duration        | 22.86                                        | 26.78                                        | 22.9                                         | 23.15                                        | 22.98                                        | 23.12                                        | 23.63    | 1.55   |
| min_duration                 | 17.18                                        | 18.7                                         | 18.69                                        | 18.76                                        | 18.67                                        | 18.71                                        |          |        |
| shortest_task                | PVO/PVOutput/39515.csv/Power(W)              | PVO/PVOutput/31440.csv/Power(W)              | PVO/PVOutput/34108.csv/Power(W)              | PVO/PVOutput/30903.csv/Power(W)              | PVO/PVOutput/6560.csv/Power(W)               | PVO/PVOutput/26775.csv/Power(W)              |          |        |
| max_duration                 | 72.5                                         | 178.11                                       | 66.6                                         | 82.63                                        | 75.31                                        | 83.87                                        |          |        |
| longest_task                 | PVO/PVOutput/38138.csv/Power(W)              | PVO/PVOutput/35817.csv/Power(W)              | PVO/PVOutput/33832.csv/Power(W)              | PVO/PVOutput/42980.csv/Power(W)              | PVO/PVOutput/29004.csv/Power(W)              | PVO/PVOutput/38146.csv/Power(W)              |          |        |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |        |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |        |
| task_duration_in_parallelism | 425.24                                       | 674.86                                       | 401.03                                       | 406.63                                       | 407.36                                       | 389.58                                       | 450.78   | 110.38 |
| tasks_durtaion_sum           | 14719.05                                     | 17248.53                                     | 14748.29                                     | 14908.35                                     | 14796.52                                     | 14890.66                                     | 15218.57 | 997.33 |
| initial_process_time         | 222.35                                       | 72.9                                         | 57.18                                        | 56.65                                        | 57.25                                        | 49.83                                        | 86.03    | 67.22  |
| total_process_time           | 658.43                                       | 755.69                                       | 466.18                                       | 473.96                                       | 473.32                                       | 447.25                                       | 545.8    | 129.0  |
| effeciencyFactor             | 0.69                                         | 0.45                                         | 0.68                                         | 0.72                                         | 0.65                                         | 0.75                                         | 0.66     | 0.11   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+--------+
