Feeder Name, Energy consumption 2019 run, Energy consumption 2020 run, Difference
NY_01_12161, 4660870000.0, 4491650000.0, 169220000.0
 NY_01_12462, 8879630000.0, 10445100000.0, -1565470000.0
 NY_01_12463, 3676820000.0, 2472420000.0, 1204400000.0
 NY_01_12464, 7582480000.0, 7580550000.0, 1930000.0
 NY_01_12465, 3118730000.0, 2730390000.0, 388340000.0
 NY_01_12466, 5265140000.0, 6704110000.0, -1438970000.0
 NY_01_12467, 8578330000.0, 8972980000.0, -394650000.0
 NY_01_12468, 6877960000.0, 5803850000.0, 1074110000.0
 NY_01_12471, 7568670000.0, 3876540000.0, 3692130000.0
 NY_01_12472, 8152710000.0, 8222720000.0, -70010000.0
 NY_01_12473, 3808010000.0, 4838950000.0, -1030940000.0
 NY_01_12475, 9224790000.0, 12468800000.0, -3244010000.0
 NY_01_12476, 5238640000.0, 5446840000.0, -208200000.0
 NY_01_12477, 2669560000.0, 426576000.0, 2242984000.0
 NY_01_12761, 5149700000.0, 5663840000.0, -514140000.0
 NY_01_12762, 1005360000.0, 1094430000.0, -89070000.0
 NY_01_12764, 8905140000.0, 7734030000.0, 1171110000.0
 NY_01_12765, 5174990000.0, 6490440000.0, -1315450000.0
 NY_01_12766, 4672570000.0, 5903560000.0, -1230990000.0
 NY_01_13261, 4617850000.0, 4349950000.0, 267900000.0
 NY_01_13961, 10446900000.0, 11868400000.0, -1421500000.0
 NY_01_13962, 7730280000.0, 8740220000.0, -1009940000.0
 NY_01_13971, 12472200000.0, 16639000000.0, -4166800000.0
 NY_01_13972, 4022430000.0, 4837330000.0, -814900000.0
 NY_01_14051, 12153900000.0, 16497000000.0, -4343100000.0
 NY_01_14052, 23456400000.0, 27245000000.0, -3788600000.0
 NY_01_14053, 18961100000.0, 21201300000.0, -2240200000.0
 NY_01_14055, 14735200000.0, 18829500000.0, -4094300000.0
 NY_01_14056, 8297980000.0, 9614510000.0, -1316530000.0
 NY_01_14057, 35037400000.0, 40526900000.0, -5489500000.0
 NY_01_14058, 27090800000.0, 29894200000.0, -2803400000.0
 NY_01_14269, 3801100000.0, 4396990000.0, -595890000.0
 NY_01_14271, 4141650000.0, 5014170000.0, -872520000.0
 NY_01_14272, 6536240000.0, 6709380000.0, -173140000.0
 NY_01_14273, 983343000.0, 1009030000.0, -25687000.0
 NY_01_14651, 6420700000.0, 6268690000.0, 152010000.0
 NY_01_15466, 9598990000.0, 10270500000.0, -671510000.0
 NY_01_15467, 4162220000.0, 5400680000.0, -1238460000.0
 NY_01_15468, 10118600000.0, 14400800000.0, -4282200000.0
 NY_01_15561, 7884480000.0, 10922600000.0, -3038120000.0
 NY_01_15562, 6599670000.0, 6449490000.0, 150180000.0
 NY_01_15564, 7510580000.0, 9992380000.0, -2481800000.0
 NY_01_16061, 3933150000.0, 6855950000.0, -2922800000.0
 NY_01_16062, 6384550000.0, 4965780000.0, 1418770000.0
 NY_01_16063, 2757720000.0, 2660820000.0, 96900000.0
 NY_01_16065, 6926490000.0, 7060260000.0, -133770000.0
 NY_01_16066, 6838540000.0, 6459520000.0, 379020000.0
 NY_01_16069, 4614900000.0, 3914680000.0, 700220000.0
 NY_01_16161, 6583410000.0, 5400010000.0, 1183400000.0
 NY_01_16162, 10179000000.0, 8298230000.0, 1880770000.0
 NY_01_16163, 1992120000.0, 1263980000.0, 728140000.0
 NY_01_16164, 3387970000.0, 4066680000.0, -678710000.0
 NY_01_16165, 1979120000.0, 1900210000.0, 78910000.0
 NY_01_16166, 8657180000.0, 5676630000.0, 2980550000.0
 NY_01_16167, 5034540000.0, 3762300000.0, 1272240000.0
 NY_01_16168, 7520310000.0, 6346090000.0, 1174220000.0
 NY_01_20552, 7982280000.0, 7273270000.0, 709010000.0
 NY_01_20553, 5644450000.0, 6118560000.0, -474110000.0
 NY_01_20751, 4390220000.0, 4144590000.0, 245630000.0
 NY_01_20862, 5596460000.0, 7950150000.0, -2353690000.0
 NY_01_20863, 9403260000.0, 7896890000.0, 1506370000.0
 NY_01_20865, 1379770000.0, 1203620000.0, 176150000.0
 NY_01_20867, 7943570000.0, 8596490000.0, -652920000.0
 NY_01_20870, 5010960000.0, 4021450000.0, 989510000.0
 NY_01_20871, 6327420000.0, 8846180000.0, -2518760000.0
 NY_01_21150, 4952260000.0, 6824290000.0, -1872030000.0
 NY_01_21151, 21632700000.0, 28219100000.0, -6586400000.0
 NY_01_21152, 12374900000.0, 11709500000.0, 665400000.0
 NY_01_21153, 18392300000.0, 18433300000.0, -41000000.0
 NY_01_21155, 25975400000.0, 27786700000.0, -1811300000.0
 NY_01_21156, 26863700000.0, 31614100000.0, -4750400000.0
 NY_01_21157, 26577000000.0, 26399000000.0, 178000000.0
 NY_01_21252, 6458870000.0, 7293800000.0, -834930000.0
 NY_01_21253, 28189800000.0, 33660500000.0, -5470700000.0
 NY_01_21257, 14297300000.0, 23485800000.0, -9188500000.0
 NY_01_21258, 6230740000.0, 3988040000.0, 2242700000.0
 NY_01_21351, 7585400000.0, 7816260000.0, -230860000.0
