+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+---------+---------+
| Performance                  | Repeat 0                                      | Repeat 1                                      | Repeat 2                                      | Repeat 3                                      | Repeat 4                                      | Repeat 5                                      | Mean    | Std     |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+---------+---------+
| Code templates folder        | code-templates-solardatatools                 |                                               |                                               |                                               |                                               |                                               |         |         |
| Number of nodes              | 8                                             |                                               |                                               |                                               |                                               |                                               |         |         |
| Number of workers            | 8                                             |                                               |                                               |                                               |                                               |                                               |         |         |
| Instance type                | t2.large                                      |                                               |                                               |                                               |                                               |                                               |         |         |
| File name                    | logs-ip1723129113useast2computeinternal-0.csv | logs-ip1723129113useast2computeinternal-1.csv | logs-ip1723129113useast2computeinternal-2.csv | logs-ip1723129113useast2computeinternal-3.csv | logs-ip1723129113useast2computeinternal-4.csv | logs-ip1723129113useast2computeinternal-5.csv |         |         |
| total_tasks                  | 642                                           | 644                                           | 644                                           | 644                                           | 644                                           | 642                                           |         |         |
| average_task_duration        | 24.01                                         | 23.67                                         | 23.62                                         | 25.53                                         | 42.03                                         | 48.01                                         | 31.14   | 10.93   |
| min_duration                 | 20.0                                          | 20.13                                         | 19.7                                          | 20.55                                         | 20.42                                         | 20.54                                         |         |         |
| shortest_task                | PVO/PVOutput/9707.csv/Power(W)                | PVO/PVOutput/9895.csv/Power(W)                | PVO/PVOutput/9912.csv/Power(W)                | PVO/PVOutput/36883.csv/Power(W)               | PVO/PVOutput/21179.csv/Power(W)               | PVO/PVOutput/19098.csv/Power(W)               |         |         |
| max_duration                 | 39.19                                         | 31.27                                         | 30.78                                         | 79.59                                         | 85.78                                         | 83.32                                         |         |         |
| longest_task                 | PVO/PVOutput/4874.csv/Power(W)                | PVO/PVOutput/41325.csv/Power(W)               | PVO/PVOutput/29838.csv/Power(W)               | PVO/PVOutput/38114.csv/Power(W)               | PVO/PVOutput/23263.csv/Power(W)               | PVO/PVOutput/14064.csv/Power(W)               |         |         |
| num_error_task               | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |         |         |
| num_unfinished_tasks         | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |         |         |
| task_duration_in_parallelism | 1010.97                                       | 977.65                                        | 973.29                                        | 1066.51                                       | 1710.15                                       | 1956.41                                       | 1282.5  | 434.96  |
| tasks_durtaion_sum           | 15414.98                                      | 15240.76                                      | 15211.49                                      | 16438.13                                      | 27064.11                                      | 30821.33                                      | 20031.8 | 7018.35 |
| initial_process_time         | 180.41                                        | 55.73                                         | 59.12                                         | 48.53                                         | 48.64                                         | 48.55                                         | 73.5    | 52.57   |
| total_process_time           | 1559.79                                       | 1041.29                                       | 1295.29                                       | 1122.94                                       | 1768.1                                        | 2374.84                                       | 1527.04 | 496.17  |
| effeciencyFactor             | 0.85                                          | 0.97                                          | 0.98                                          | 0.96                                          | 0.99                                          | 0.98                                          | 0.95    | 0.05    |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+---------+---------+
