,file_name,column_name,task_id,start_time,end_time,hostname,host_ip,po_server_name,pid,error
0,PVO/PVOutput/10010.csv,WS_5_DateUTC,68de8f87-f902-4bfe-bceb-4914a7f7e224,1663777584.8349025,1663777588.592191,worker-bf97597d7-m2q7f,10.1.2.217,server-648f65cf48-xvdtj,19,Run run_pipeline fail:Could not convert 2017-06-08 08:57:002017-06-13 08:56:002017-06-19 08:59:00 to numeric
0,PVO/PVOutput/10010.csv,WS_5_Dewpoint(C),88bfa7be-743c-4155-84aa-085d8ccb6bab,1663777601.7683475,1663777609.2139418,worker-bf97597d7-m2q7f,10.1.2.217,server-648f65cf48-xvdtj,20,Save data error: unsupported operand type(s) for *:  NoneType  and  int 
