,bucket,delay,delayTime,duration,start,end
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853603.8931835,1660853608.8986018
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853604.4661562,1660853609.4715264
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853604.9562075,1660853609.9615843
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853605.4465137,1660853610.4518936
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853605.927589,1660853610.9295526
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853606.3943095,1660853611.3982294
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853606.8844616,1660853611.889347
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853607.3595448,1660853612.3645508
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853607.9226599,1660853612.9280953
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853608.4188507,1660853613.4229739
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853608.9361637,1660853613.9388897
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853609.381431,1660853614.3869092
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853609.865382,1660853614.8708427
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853610.3621063,1660853615.3675408
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853610.8242612,1660853615.829673
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853611.2974672,1660853616.300257
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853611.7635653,1660853616.76489
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853612.2371569,1660853617.2426634
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853612.6996322,1660853617.7050378
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853613.2588973,1660853618.2620347
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853613.718191,1660853618.7223935
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853614.2111998,1660853619.2162604
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853614.6935852,1660853619.6990232
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853615.245727,1660853620.2512867
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853615.8065298,1660853620.8119032
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853616.2975955,1660853621.3001332
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853616.7798064,1660853621.7846582
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853617.3233895,1660853622.3269453
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853617.8304791,1660853622.832164
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853618.3067248,1660853623.3120656
