,bucket,delay,delayTime,duration,start,end
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853183.6784368,1660853188.6838925
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853184.1901124,1660853189.192127
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853184.6874483,1660853189.6928668
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853185.2278929,1660853190.2332525
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853185.7255414,1660853190.7310145
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853186.2267582,1660853191.2321122
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853186.7297912,1660853191.7351637
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853187.2363148,1660853192.2417316
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853187.714249,1660853192.7161524
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853188.2040668,1660853193.2095103
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853188.7194233,1660853193.7248094
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853189.1763892,1660853194.1818779
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853189.6688652,1660853194.6742818
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853190.1667821,1660853195.172174
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853190.650659,1660853195.6560886
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853191.1407962,1660853196.1462412
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853191.7587514,1660853196.7622895
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853192.1901433,1660853197.1918712
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853192.7225149,1660853197.7279282
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853193.2327213,1660853198.2382228
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853193.7839043,1660853198.7893498
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853194.303298,1660853199.3044548
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853194.777654,1660853199.780562
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853195.2280219,1660853200.2334847
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853195.7810092,1660853200.786437
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853196.2717695,1660853201.277225
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853196.7691846,1660853201.7745574
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853197.2065575,1660853202.2119005
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853197.7804885,1660853202.7822082
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853198.3173687,1660853203.3227844
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853198.8267267,1660853203.8310575
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853199.320941,1660853204.3262942
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853199.3883607,1660853204.3938007
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853199.8933606,1660853204.8961616
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853200.395996,1660853205.4001055
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853200.8907464,1660853205.8961613
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853201.3655849,1660853206.3669412
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853201.8980885,1660853206.9034417
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853202.4442313,1660853207.449619
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853203.0383713,1660853208.0438106
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660853203.521453,1660853208.5268219
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660853204.019765,1660853209.0241313
