,bucket,delay,delayTime,duration,start,end
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660852350.190149,1660852355.19288
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852350.766315,1660852355.7716854
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852351.3045871,1660852356.3099363
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660852351.8233273,1660852356.8280466
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852352.3077464,1660852357.3131635
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852352.7860723,1660852357.7914457
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852353.2925463,1660852358.2979832
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852353.7551324,1660852358.760178
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852354.2349727,1660852359.2404337
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660852354.739059,1660852359.7412179
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660852355.2031608,1660852360.2081017
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852355.6722965,1660852360.6776712
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660852356.1796322,1660852361.1801448
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852356.650757,1660852361.6562042
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852357.137322,1660852362.142736
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852357.6351886,1660852362.640594
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852358.1422844,1660852363.1477444
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852358.5936506,1660852363.5990345
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852359.0665734,1660852364.0719833
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852359.5595438,1660852364.5650423
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852360.0841904,1660852365.089673
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660852360.5855432,1660852365.587052
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852361.0391018,1660852366.0444958
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852361.5381248,1660852366.5437534
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852362.032068,1660852367.0374603
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.0,1660852362.5126421,1660852367.5151548
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852362.9890883,1660852367.9944701
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5,5.01,1660852363.4857209,1660852368.4912403
