+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+-------+
| Performance                  | Repeat 0                                      | Repeat 1                                      | Repeat 2                                      | Repeat 3                                      | Repeat 4                                      | Repeat 5                                      | Mean     | Std   |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+-------+
| Code templates folder        | code-templates-solardatatools                 |                                               |                                               |                                               |                                               |                                               |          |       |
| Number of nodes              | 16                                            |                                               |                                               |                                               |                                               |                                               |          |       |
| Number of workers            | 16                                            |                                               |                                               |                                               |                                               |                                               |          |       |
| Instance type                | t2.large                                      |                                               |                                               |                                               |                                               |                                               |          |       |
| File name                    | logs-ip1723129113useast2computeinternal-0.csv | logs-ip1723129113useast2computeinternal-1.csv | logs-ip1723129113useast2computeinternal-2.csv | logs-ip1723129113useast2computeinternal-3.csv | logs-ip1723129113useast2computeinternal-4.csv | logs-ip1723129113useast2computeinternal-5.csv |          |       |
| total_tasks                  | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           |          |       |
| average_task_duration        | 23.76                                         | 23.74                                         | 23.72                                         | 23.81                                         | 23.87                                         | 23.87                                         | 23.8     | 0.07  |
| min_duration                 | 19.71                                         | 19.45                                         | 19.3                                          | 19.96                                         | 13.08                                         | 19.83                                         |          |       |
| shortest_task                | PVO/PVOutput/9489.csv/Power(W)                | PVO/PVOutput/9608.csv/Power(W)                | PVO/PVOutput/9497.csv/Power(W)                | PVO/sys_meta.csv/Inverter Power(W)            | PVO/PVOutput/42560.csv/Power(W)               | PVO/PVOutput/9038.csv/Power(W)                |          |       |
| max_duration                 | 49.53                                         | 39.32                                         | 29.07                                         | 33.08                                         | 47.82                                         | 48.97                                         |          |       |
| longest_task                 | PVO/PVOutput/18827.csv/Power(W)               | PVO/PVOutput/40058.csv/Power(W)               | PVO/PVOutput/42154.csv/Power(W)               | PVO/PVOutput/11544.csv/Power(W)               | PVO/PVOutput/24180.csv/Power(W)               | PVO/PVOutput/39621.csv/Power(W)               |          |       |
| num_error_task               | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |          |       |
| num_unfinished_tasks         | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |          |       |
| task_duration_in_parallelism | 539.17                                        | 528.01                                        | 520.21                                        | 513.22                                        | 519.92                                        | 527.58                                        | 524.68   | 8.98  |
| tasks_durtaion_sum           | 15304.31                                      | 15290.57                                      | 15274.01                                      | 15331.33                                      | 15372.72                                      | 15373.32                                      | 15324.38 | 42.1  |
| initial_process_time         | 199.58                                        | 55.91                                         | 55.55                                         | 48.99                                         | 95.3                                          | 48.75                                         | 84.01    | 59.25 |
| total_process_time           | 746.83                                        | 592.99                                        | 585.17                                        | 570.3                                         | 623.24                                        | 586.73                                        | 617.54   | 65.7  |
| effeciencyFactor             | 0.89                                          | 0.9                                           | 0.92                                          | 0.93                                          | 0.92                                          | 0.91                                          | 0.91     | 0.01  |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+-------+
