+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std  |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |      |
| Number of nodes              | 32                                           |                                              |                                              |                                              |                                              |                                              |         |      |
| Number of workers            | 32                                           |                                              |                                              |                                              |                                              |                                              |         |      |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |      |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |      |
| total_tasks                  | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |      |
| average_task_duration        | 13.96                                        | 13.99                                        | 13.99                                        | 14.0                                         | 13.99                                        | 13.88                                        | 13.97   | 0.05 |
| min_duration                 | 0.4                                          | 0.33                                         | 0.36                                         | 0.42                                         | 0.29                                         | 0.37                                         |         |      |
| shortest_task                | IEEE/37.glm/None                             | gridlabd-4/IEEE/37.glm/None                  | IEEE/37.glm/None                             | IEEE/37.glm/None                             | IEEE/37.glm/None                             | IEEE/37.glm/None                             |         |      |
| max_duration                 | 108.95                                       | 115.79                                       | 106.96                                       | 123.16                                       | 107.45                                       | 106.59                                       |         |      |
| longest_task                 | gridlabd-5/PG&E/MC0006.glm/None              | PG&E-1/MC0006.glm/None                       | gridlabd-5/PG&E/MC0006.glm/None              | PG&E/MC0006.glm/None                         | PG&E-1/MC0006.glm/None                       | gridlabd-4/PG&E-1/MC0006.glm/None            |         |      |
| num_error_task               | 8                                            | 8                                            | 8                                            | 8                                            | 8                                            | 8                                            |         |      |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |      |
| task_duration_in_parallelism | 109.9                                        | 116.62                                       | 107.83                                       | 123.99                                       | 108.21                                       | 107.42                                       | 112.33  | 6.66 |
| tasks_durtaion_sum           | 2791.56                                      | 2797.22                                      | 2797.43                                      | 2800.85                                      | 2797.68                                      | 2775.11                                      | 2793.31 | 9.41 |
| initial_process_time         | 47.67                                        | 47.38                                        | 47.52                                        | 47.68                                        | 47.41                                        | 47.65                                        | 47.55   | 0.13 |
| total_process_time           | 163.1                                        | 169.47                                       | 160.83                                       | 178.19                                       | 161.13                                       | 160.58                                       | 165.55  | 7.04 |
| effeciencyFactor             | 0.4                                          | 0.37                                         | 0.41                                         | 0.35                                         | 0.4                                          | 0.4                                          | 0.39    | 0.02 |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+------+
