+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+--------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean     | Std    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+--------+
| Code templates folder        | code-templates-solardatatools                |                                              |                                              |                                              |                                              |                                              |          |        |
| Number of nodes              | 20                                           |                                              |                                              |                                              |                                              |                                              |          |        |
| Number of workers            | 20                                           |                                              |                                              |                                              |                                              |                                              |          |        |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |          |        |
| File name                    | logs-ip172311688useast2computeinternal-0.csv | logs-ip172311688useast2computeinternal-1.csv | logs-ip172311688useast2computeinternal-2.csv | logs-ip172311688useast2computeinternal-3.csv | logs-ip172311688useast2computeinternal-4.csv | logs-ip172311688useast2computeinternal-5.csv |          |        |
| total_tasks                  | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          |          |        |
| average_task_duration        | 21.17                                        | 20.81                                        | 20.97                                        | 21.26                                        | 21.06                                        | 21.43                                        | 21.12    | 0.22   |
| min_duration                 | 0.44                                         | 0.46                                         | 0.42                                         | 0.47                                         | 0.45                                         | 0.44                                         |          |        |
| shortest_task                | PVO/sys_meta.csv/Panel Power(W)              | PVO/sys_meta.csv/Inverter Power(W)           | PVO/sys_meta.csv/Panel Power(W)              | PVO/sys_meta.csv/Inverter Power(W)           | PVO/sys_meta.csv/Panel Power(W)              | PVO/sys_meta.csv/Panel Power(W)              |          |        |
| max_duration                 | 59.2                                         | 66.71                                        | 59.28                                        | 85.13                                        | 56.25                                        | 70.26                                        |          |        |
| longest_task                 | PVO/PVOutput/6358.csv/Power(W)               | PVO/PVOutput/6358.csv/Power(W)               | PVO/PVOutput/6576.csv/Power(W)               | PVO/PVOutput/1095.csv/Power(W)               | PVO/PVOutput/6576.csv/Power(W)               | PVO/PVOutput/6358.csv/Power(W)               |          |        |
| num_error_task               | 76                                           | 76                                           | 76                                           | 76                                           | 76                                           | 76                                           |          |        |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |        |
| task_duration_in_parallelism | 461.39                                       | 452.09                                       | 429.38                                       | 426.75                                       | 430.83                                       | 435.71                                       | 439.36   | 14.09  |
| tasks_durtaion_sum           | 13635.44                                     | 13403.71                                     | 13507.66                                     | 13691.81                                     | 13562.84                                     | 13798.93                                     | 13600.07 | 139.78 |
| initial_process_time         | 213.7                                        | 55.65                                        | 55.71                                        | 48.92                                        | 48.52                                        | 49.68                                        | 78.7     | 66.22  |
| total_process_time           | 683.06                                       | 516.68                                       | 493.73                                       | 484.42                                       | 490.06                                       | 495.25                                       | 527.2    | 77.14  |
| effeciencyFactor             | 0.74                                         | 0.74                                         | 0.79                                         | 0.8                                          | 0.79                                         | 0.79                                         | 0.78     | 0.03   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+--------+
