+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+---------+
| Performance                  | Repeat 0                                      | Repeat 1                                      | Repeat 2                                      | Repeat 3                                      | Repeat 4                                      | Repeat 5                                      | Mean     | Std     |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+---------+
| Code templates folder        | code-templates-solardatatools                 |                                               |                                               |                                               |                                               |                                               |          |         |
| Number of nodes              | 10                                            |                                               |                                               |                                               |                                               |                                               |          |         |
| Number of workers            | 10                                            |                                               |                                               |                                               |                                               |                                               |          |         |
| Instance type                | t2.large                                      |                                               |                                               |                                               |                                               |                                               |          |         |
| File name                    | logs-ip1723129113useast2computeinternal-0.csv | logs-ip1723129113useast2computeinternal-1.csv | logs-ip1723129113useast2computeinternal-2.csv | logs-ip1723129113useast2computeinternal-3.csv | logs-ip1723129113useast2computeinternal-4.csv | logs-ip1723129113useast2computeinternal-5.csv |          |         |
| total_tasks                  | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           |          |         |
| average_task_duration        | 20.79                                         | 20.57                                         | 20.71                                         | 20.89                                         | 21.86                                         | 27.07                                         | 21.98    | 2.53    |
| min_duration                 | 0.45                                          | 0.44                                          | 0.44                                          | 0.44                                          | 0.5                                           | 0.44                                          |          |         |
| shortest_task                | PVO/sys_meta.csv/Inverter Power(W)            | PVO/sys_meta.csv/Panel Power(W)               | PVO/sys_meta.csv/Panel Power(W)               | PVO/sys_meta.csv/Inverter Power(W)            | PVO/sys_meta.csv/Inverter Power(W)            | PVO/sys_meta.csv/Panel Power(W)               |          |         |
| max_duration                 | 71.3                                          | 65.74                                         | 59.96                                         | 62.86                                         | 137.07                                        | 114.71                                        |          |         |
| longest_task                 | PVO/PVOutput/6358.csv/Power(W)                | PVO/PVOutput/6358.csv/Power(W)                | PVO/PVOutput/9215.csv/Power(W)                | PVO/PVOutput/6358.csv/Power(W)                | PVO/PVOutput/7940.csv/Power(W)                | PVO/PVOutput/29890.csv/Power(W)               |          |         |
| num_error_task               | 76                                            | 76                                            | 76                                            | 76                                            | 76                                            | 76                                            |          |         |
| num_unfinished_tasks         | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |          |         |
| task_duration_in_parallelism | 816.91                                        | 705.27                                        | 735.11                                        | 719.47                                        | 786.5                                         | 1033.8                                        | 799.51   | 122.31  |
| tasks_durtaion_sum           | 13386.12                                      | 13248.55                                      | 13337.07                                      | 13455.41                                      | 14077.99                                      | 17433.08                                      | 14156.37 | 1632.36 |
| initial_process_time         | 68.85                                         | 56.37                                         | 48.09                                         | 47.8                                          | 48.05                                         | 49.33                                         | 53.08    | 8.39    |
| total_process_time           | 784.8                                         | 769.52                                        | 791.17                                        | 776.51                                        | 844.31                                        | 1091.26                                       | 842.93   | 124.52  |
| effeciencyFactor             | 0.78                                          | 0.94                                          | 0.91                                          | 0.94                                          | 0.89                                          | 0.84                                          | 0.88     | 0.06    |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+---------+
