,file,data
0,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.208
"
0,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.502
"
0,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.208
/app/project/8500.glm,0 kW,2526,4876,0,10.929
"
0,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.899
"
0,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.84
"
0,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.913
"
1,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.968
"
0,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.884
"
0,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.876
"
0,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,12.36
"
1,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.502
/app/project/8500.glm,0 kW,2526,4876,0,11.475
"
2,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.997
"
0,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.585
/app/project/8500.glm,0 kW,2526,4876,0,12.22
"
0,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.886
/app/project/8500.glm,0 kW,2526,4876,0,11.721
"
0,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.997
/app/project/8500.glm,0 kW,2526,4876,0,11.827
"
0,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.899
/app/project/8500.glm,0 kW,2526,4876,0,11.711
"
1,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,11.884
/app/project/8500.glm,0 kW,2526,4876,0,11.686
"
2,/app/project/8500.glm,"/app/project/8500.glm,0 kW,2526,4876,0,12.26
/app/project/8500.glm,0 kW,2526,4876,0,12.093
"
