+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+-------+
| Performance                  | Repeat 0                                      | Repeat 1                                      | Repeat 2                                      | Repeat 3                                      | Repeat 4                                      | Repeat 5                                      | Mean     | Std   |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+-------+
| Code templates folder        | code-templates-solardatatools                 |                                               |                                               |                                               |                                               |                                               |          |       |
| Number of nodes              | 16                                            |                                               |                                               |                                               |                                               |                                               |          |       |
| Number of workers            | 16                                            |                                               |                                               |                                               |                                               |                                               |          |       |
| Instance type                | t2.large                                      |                                               |                                               |                                               |                                               |                                               |          |       |
| File name                    | logs-ip1723129113useast2computeinternal-0.csv | logs-ip1723129113useast2computeinternal-1.csv | logs-ip1723129113useast2computeinternal-2.csv | logs-ip1723129113useast2computeinternal-3.csv | logs-ip1723129113useast2computeinternal-4.csv | logs-ip1723129113useast2computeinternal-5.csv |          |       |
| total_tasks                  | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           |          |       |
| average_task_duration        | 21.72                                         | 21.87                                         | 21.56                                         | 21.87                                         | 21.81                                         | 21.96                                         | 21.8     | 0.14  |
| min_duration                 | 0.43                                          | 0.44                                          | 0.45                                          | 0.43                                          | 0.48                                          | 0.44                                          |          |       |
| shortest_task                | PVO/sys_meta.csv/Panel Power(W)               | PVO/sys_meta.csv/Panel Power(W)               | PVO/sys_meta.csv/Panel Power(W)               | PVO/sys_meta.csv/Inverter Power(W)            | PVO/sys_meta.csv/Panel Power(W)               | PVO/sys_meta.csv/Inverter Power(W)            |          |       |
| max_duration                 | 61.92                                         | 67.0                                          | 56.61                                         | 69.82                                         | 57.7                                          | 63.84                                         |          |       |
| longest_task                 | PVO/PVOutput/6358.csv/Power(W)                | PVO/PVOutput/6358.csv/Power(W)                | PVO/PVOutput/6576.csv/Power(W)                | PVO/PVOutput/6358.csv/Power(W)                | PVO/PVOutput/6576.csv/Power(W)                | PVO/PVOutput/6358.csv/Power(W)                |          |       |
| num_error_task               | 76                                            | 76                                            | 76                                            | 76                                            | 76                                            | 76                                            |          |       |
| num_unfinished_tasks         | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |          |       |
| task_duration_in_parallelism | 520.78                                        | 512.25                                        | 503.76                                        | 506.54                                        | 503.42                                        | 498.08                                        | 507.47   | 7.99  |
| tasks_durtaion_sum           | 13986.31                                      | 14087.47                                      | 13883.56                                      | 14082.29                                      | 14046.85                                      | 14142.17                                      | 14038.11 | 91.5  |
| initial_process_time         | 188.51                                        | 56.05                                         | 48.6                                          | 48.53                                         | 48.83                                         | 48.7                                          | 73.2     | 56.57 |
| total_process_time           | 717.17                                        | 576.95                                        | 560.34                                        | 565.08                                        | 560.15                                        | 554.69                                        | 589.06   | 63.21 |
| effeciencyFactor             | 0.84                                          | 0.86                                          | 0.86                                          | 0.87                                          | 0.87                                          | 0.89                                          | 0.86     | 0.02  |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+-------+
