+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |        |
| Number of nodes              | 5                                            |                                              |                                              |                                              |                                              |                                              |         |        |
| Number of workers            | 5                                            |                                              |                                              |                                              |                                              |                                              |         |        |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |        |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |        |
| total_tasks                  | 199                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |        |
| average_task_duration        | 7.91                                         | 7.93                                         | 7.93                                         | 7.92                                         | 7.93                                         | 7.94                                         | 7.93    | 0.01   |
| min_duration                 | 7.38                                         | 7.4                                          | 7.4                                          | 7.44                                         | 7.28                                         | 7.37                                         |         |        |
| shortest_task                | PVO/PVOutput/27617.csv/Power(W)              | PVO/PVOutput/27609.csv/Power(W)              | PVO/PVOutput/27400.csv/Power(W)              | PVO/PVOutput/18731.csv/Power(W)              | PVO/PVOutput/27002.csv/Power(W)              | PVO/PVOutput/27400.csv/Power(W)              |         |        |
| max_duration                 | 9.04                                         | 8.65                                         | 8.54                                         | 8.54                                         | 8.56                                         | 8.7                                          |         |        |
| longest_task                 | PVO/PVOutput/10664.csv/Power(W)              | PVO/PVOutput/14064.csv/Power(W)              | PVO/PVOutput/19005.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/14077.csv/Power(W)              | PVO/PVOutput/10664.csv/Power(W)              |         |        |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |        |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |        |
| task_duration_in_parallelism | 165.07                                       | 165.75                                       | 166.53                                       | 166.4                                        | 185.44                                       | 166.66                                       | 169.31  | 7.93   |
| tasks_durtaion_sum           | 1574.92                                      | 1585.14                                      | 1586.53                                      | 1584.52                                      | 1585.08                                      | 1588.75                                      | 1584.16 | 4.77   |
| initial_process_time         | 264.97                                       | 51.32                                        | 44.5                                         | 44.33                                        | 43.88                                        | 44.85                                        | 82.31   | 89.53  |
| total_process_time           | 796.69                                       | 223.1                                        | 217.0                                        | 216.7                                        | 249.11                                       | 217.48                                       | 320.01  | 233.85 |
| effeciencyFactor             | 0.95                                         | 0.96                                         | 0.95                                         | 0.95                                         | 0.85                                         | 0.95                                         | 0.93    | 0.04   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
