+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean     | Std     |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
| Code templates folder        | code-templates-solardatatools                |                                              |                                              |                                              |                                              |                                              |          |         |
| Number of nodes              | 32                                           |                                              |                                              |                                              |                                              |                                              |          |         |
| Number of workers            | 32                                           |                                              |                                              |                                              |                                              |                                              |          |         |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |          |         |
| File name                    | logs-ip172311688useast2computeinternal-0.csv | logs-ip172311688useast2computeinternal-1.csv | logs-ip172311688useast2computeinternal-2.csv | logs-ip172311688useast2computeinternal-3.csv | logs-ip172311688useast2computeinternal-4.csv | logs-ip172311688useast2computeinternal-5.csv |          |         |
| total_tasks                  | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          |          |         |
| average_task_duration        | 50.35                                        | 42.18                                        | 39.25                                        | 45.54                                        | 43.75                                        | 43.96                                        | 44.17    | 3.7     |
| min_duration                 | 21.13                                        | 22.32                                        | 23.14                                        | 19.73                                        | 22.36                                        | 22.45                                        |          |         |
| shortest_task                | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              |          |         |
| max_duration                 | 245.78                                       | 154.83                                       | 96.92                                        | 170.92                                       | 170.24                                       | 160.87                                       |          |         |
| longest_task                 | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              |          |         |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |         |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |         |
| task_duration_in_parallelism | 1038.08                                      | 577.81                                       | 518.72                                       | 742.85                                       | 822.26                                       | 714.54                                       | 735.71   | 185.17  |
| tasks_durtaion_sum           | 32428.51                                     | 27164.51                                     | 25273.88                                     | 29326.4                                      | 28174.48                                     | 28310.18                                     | 28446.33 | 2384.63 |
| initial_process_time         | 385.4                                        | 268.31                                       | 270.27                                       | 268.03                                       | 269.87                                       | 274.16                                       | 289.34   | 47.11   |
| total_process_time           | 1431.72                                      | 856.88                                       | 796.91                                       | 1018.77                                      | 1100.13                                      | 998.86                                       | 1033.88  | 224.32  |
| effeciencyFactor             | 0.49                                         | 0.73                                         | 0.76                                         | 0.62                                         | 0.54                                         | 0.62                                         | 0.63     | 0.1     |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
