+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+--------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean     | Std    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+--------+
| Code templates folder        | code-templates-solardatatools                |                                              |                                              |                                              |                                              |                                              |          |        |
| Number of nodes              | 15                                           |                                              |                                              |                                              |                                              |                                              |          |        |
| Number of workers            | 15                                           |                                              |                                              |                                              |                                              |                                              |          |        |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |          |        |
| File name                    | logs-ip172311688useast2computeinternal-0.csv | logs-ip172311688useast2computeinternal-1.csv | logs-ip172311688useast2computeinternal-2.csv | logs-ip172311688useast2computeinternal-3.csv | logs-ip172311688useast2computeinternal-4.csv | logs-ip172311688useast2computeinternal-5.csv |          |        |
| total_tasks                  | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          |          |        |
| average_task_duration        | 21.24                                        | 21.58                                        | 21.59                                        | 21.72                                        | 21.78                                        | 21.56                                        | 21.58    | 0.19   |
| min_duration                 | 0.44                                         | 0.44                                         | 0.43                                         | 0.43                                         | 0.46                                         | 0.46                                         |          |        |
| shortest_task                | PVO/sys_meta.csv/Panel Power(W)              | PVO/sys_meta.csv/Inverter Power(W)           | PVO/sys_meta.csv/Panel Power(W)              | PVO/sys_meta.csv/Panel Power(W)              | PVO/sys_meta.csv/Panel Power(W)              | PVO/sys_meta.csv/Inverter Power(W)           |          |        |
| max_duration                 | 58.03                                        | 56.34                                        | 55.03                                        | 65.35                                        | 68.2                                         | 59.89                                        |          |        |
| longest_task                 | PVO/PVOutput/6358.csv/Power(W)               | PVO/PVOutput/16411.csv/Power(W)              | PVO/PVOutput/6358.csv/Power(W)               | PVO/PVOutput/6358.csv/Power(W)               | PVO/PVOutput/6358.csv/Power(W)               | PVO/PVOutput/6358.csv/Power(W)               |          |        |
| num_error_task               | 76                                           | 76                                           | 76                                           | 76                                           | 76                                           | 76                                           |          |        |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |        |
| task_duration_in_parallelism | 524.85                                       | 520.88                                       | 517.99                                       | 521.42                                       | 520.18                                       | 511.13                                       | 519.41   | 4.63   |
| tasks_durtaion_sum           | 13678.98                                     | 13900.16                                     | 13900.95                                     | 13984.7                                      | 14028.33                                     | 13887.18                                     | 13896.72 | 120.49 |
| initial_process_time         | 203.39                                       | 56.98                                        | 49.47                                        | 49.31                                        | 49.59                                        | 49.55                                        | 76.38    | 62.29  |
| total_process_time           | 739.04                                       | 586.0                                        | 575.67                                       | 581.86                                       | 577.92                                       | 568.85                                       | 604.89   | 65.98  |
| effeciencyFactor             | 0.87                                         | 0.89                                         | 0.89                                         | 0.89                                         | 0.9                                          | 0.91                                         | 0.89     | 0.01   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+--------+
