+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean     | Std     |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
| Code templates folder        | code-templates-solardatatools                |                                              |                                              |                                              |                                              |                                              |          |         |
| Number of nodes              | 12                                           |                                              |                                              |                                              |                                              |                                              |          |         |
| Number of workers            | 12                                           |                                              |                                              |                                              |                                              |                                              |          |         |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |          |         |
| File name                    | logs-ip172311688useast2computeinternal-0.csv | logs-ip172311688useast2computeinternal-1.csv | logs-ip172311688useast2computeinternal-2.csv | logs-ip172311688useast2computeinternal-3.csv | logs-ip172311688useast2computeinternal-4.csv | logs-ip172311688useast2computeinternal-5.csv |          |         |
| total_tasks                  | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          |          |         |
| average_task_duration        | 23.95                                        | 24.02                                        | 24.13                                        | 23.99                                        | 24.58                                        | 31.07                                        | 25.29    | 2.84    |
| min_duration                 | 19.7                                         | 19.32                                        | 20.33                                        | 17.2                                         | 19.69                                        | 16.65                                        |          |         |
| shortest_task                | PVO/sys_meta.csv/Panel Power(W)              | PVO/sys_meta.csv/Panel Power(W)              | PVO/PVOutput/9895.csv/Power(W)               | PVO/PVOutput/25505.csv/Power(W)              | PVO/PVOutput/28852.csv/Power(W)              | PVO/PVOutput/39333.csv/Power(W)              |          |         |
| max_duration                 | 29.41                                        | 30.64                                        | 31.41                                        | 30.39                                        | 69.93                                        | 89.92                                        |          |         |
| longest_task                 | PVO/PVOutput/46851.csv/Power(W)              | PVO/PVOutput/6974.csv/Power(W)               | PVO/PVOutput/36703.csv/Power(W)              | PVO/PVOutput/46548.csv/Power(W)              | PVO/PVOutput/5473.csv/Power(W)               | PVO/PVOutput/42942.csv/Power(W)              |          |         |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |         |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |         |
| task_duration_in_parallelism | 666.28                                       | 668.03                                       | 682.92                                       | 677.87                                       | 700.81                                       | 897.7                                        | 715.6    | 90.07   |
| tasks_durtaion_sum           | 15423.54                                     | 15469.97                                     | 15538.28                                     | 15451.74                                     | 15828.32                                     | 20007.88                                     | 16286.62 | 1829.03 |
| initial_process_time         | 197.65                                       | 56.34                                        | 49.26                                        | 49.0                                         | 49.22                                        | 49.44                                        | 75.15    | 60.08   |
| total_process_time           | 872.29                                       | 732.56                                       | 758.7                                        | 734.93                                       | 758.14                                       | 955.2                                        | 801.97   | 91.14   |
| effeciencyFactor             | 0.96                                         | 0.96                                         | 0.95                                         | 0.95                                         | 0.94                                         | 0.93                                         | 0.95     | 0.01    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
