+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+---------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std     |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+---------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |         |
| Number of nodes              | 4                                            |                                              |                                              |                                              |                                              |                                              |         |         |
| Number of workers            | 4                                            |                                              |                                              |                                              |                                              |                                              |         |         |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |         |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |         |
| total_tasks                  | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |         |
| average_task_duration        | 50.23                                        | 24.6                                         | 20.09                                        | 20.74                                        | 23.83                                        | 29.4                                         | 28.15   | 11.32   |
| min_duration                 | 10.28                                        | 9.36                                         | 13.49                                        | 9.52                                         | 16.67                                        | 16.58                                        |         |         |
| shortest_task                | IEEE/8500.glm/None                           | IEEE/8500.glm/None                           | IEEE/8500.glm/None                           | IEEE/8500.glm/None                           | IEEE/8500.glm/None                           | IEEE/8500.glm/None                           |         |         |
| max_duration                 | 107.49                                       | 74.03                                        | 57.85                                        | 59.29                                        | 58.34                                        | 59.8                                         |         |         |
| longest_task                 | IEEE/8500.glm/None                           | IEEE/8500.glm/None                           | IEEE/8500.glm/None                           | IEEE/8500.glm/None                           | IEEE/8500.glm/None                           | IEEE/8500.glm/None                           |         |         |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |         |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |         |
| task_duration_in_parallelism | 1354.62                                      | 665.8                                        | 509.75                                       | 526.54                                       | 629.4                                        | 748.18                                       | 739.05  | 314.37  |
| tasks_durtaion_sum           | 10046.3                                      | 4920.92                                      | 4017.6                                       | 4147.77                                      | 4766.24                                      | 5880.95                                      | 5629.96 | 2263.29 |
| initial_process_time         | 320.28                                       | 185.61                                       | 47.6                                         | 47.17                                        | 46.98                                        | 50.02                                        | 116.28  | 114.11  |
| total_process_time           | 1681.47                                      | 856.92                                       | 562.82                                       | 579.29                                       | 681.79                                       | 804.84                                       | 861.19  | 418.74  |
| effeciencyFactor             | 0.93                                         | 0.92                                         | 0.99                                         | 0.98                                         | 0.95                                         | 0.98                                         | 0.96    | 0.03    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+---------+
