+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
| Code templates folder        | code-templates-gridlabdNY                    |                                              |                                              |                                              |                                              |                                              |         |        |
| Number of nodes              | 16                                           |                                              |                                              |                                              |                                              |                                              |         |        |
| Number of workers            | 16                                           |                                              |                                              |                                              |                                              |                                              |         |        |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |        |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |        |
| total_tasks                  | 498                                          | 498                                          | 498                                          | 498                                          | 498                                          | 498                                          |         |        |
| average_task_duration        | 6.72                                         | 6.87                                         | 6.61                                         | 6.72                                         | 6.64                                         | 6.72                                         | 6.71    | 0.09   |
| min_duration                 | 3.68                                         | 3.99                                         | 3.53                                         | 3.77                                         | 3.87                                         | 3.63                                         |         |        |
| shortest_task                | feeder_NY_01/NY_01_3873.glm/None             | feeder_NY_01/NY_01_3573.glm/None             | feeder_NY_01/NY_01_3873.glm/None             | feeder_NY_01/NY_01_3873.glm/None             | feeder_NY_01/NY_01_4369.glm/None             | feeder_NY_01/NY_01_3067.glm/None             |         |        |
| max_duration                 | 21.8                                         | 24.84                                        | 23.55                                        | 25.27                                        | 25.33                                        | 27.61                                        |         |        |
| longest_task                 | feeder_NY_01/NY_01_20655.glm/None            | feeder_NY_01/NY_01_20653.glm/None            | feeder_NY_01/NY_01_20655.glm/None            | feeder_NY_01/NY_01_20655.glm/None            | feeder_NY_01/NY_01_20653.glm/None            | feeder_NY_01/NY_01_20653.glm/None            |         |        |
| num_error_task               | 282                                          | 282                                          | 282                                          | 282                                          | 282                                          | 282                                          |         |        |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |        |
| task_duration_in_parallelism | 119.54                                       | 114.72                                       | 110.72                                       | 112.56                                       | 114.36                                       | 112.36                                       | 114.04  | 3.06   |
| tasks_durtaion_sum           | 3346.84                                      | 3422.47                                      | 3289.95                                      | 3348.33                                      | 3306.07                                      | 3345.27                                      | 3343.15 | 45.92  |
| initial_process_time         | 407.68                                       | 242.55                                       | 45.43                                        | 45.34                                        | 45.73                                        | 54.54                                        | 140.21  | 152.49 |
| total_process_time           | 532.64                                       | 362.7                                        | 162.52                                       | 163.33                                       | 167.24                                       | 172.33                                       | 260.13  | 154.93 |
| effeciencyFactor             | 0.87                                         | 0.93                                         | 0.93                                         | 0.93                                         | 0.9                                          | 0.93                                         | 0.92    | 0.03   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+--------+
