+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Mean     | Std     |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
| Code templates folder        | code-templates-solardatatools                |                                              |                                              |                                              |          |         |
| Number of nodes              | 4                                            |                                              |                                              |                                              |          |         |
| Number of workers            | 4                                            |                                              |                                              |                                              |          |         |
| Instance type                | t2.large                                     |                                              |                                              |                                              |          |         |
| File name                    | logs-ip172311688useast2computeinternal-0.csv | logs-ip172311688useast2computeinternal-1.csv | logs-ip172311688useast2computeinternal-2.csv | logs-ip172311688useast2computeinternal-3.csv |          |         |
| total_tasks                  | 644                                          | 644                                          | 644                                          | 644                                          |          |         |
| average_task_duration        | 69.43                                        | 51.63                                        | 43.31                                        | 44.7                                         | 52.27    | 12.01   |
| min_duration                 | 22.99                                        | 28.04                                        | 29.54                                        | 23.88                                        |          |         |
| shortest_task                | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              |          |         |
| max_duration                 | 234.45                                       | 157.4                                        | 120.51                                       | 121.22                                       |          |         |
| longest_task                 | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              |          |         |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            |          |         |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            |          |         |
| task_duration_in_parallelism | 5775.42                                      | 4339.14                                      | 3608.38                                      | 3688.55                                      | 4352.87  | 1003.23 |
| tasks_durtaion_sum           | 44715.58                                     | 33247.4                                      | 27893.08                                     | 28788.05                                     | 33661.03 | 7732.82 |
| initial_process_time         | 383.74                                       | 270.99                                       | 267.06                                       | 268.13                                       | 297.48   | 57.53   |
| total_process_time           | 6168.8                                       | 4618.34                                      | 3885.47                                      | 3965.38                                      | 4659.5   | 1058.4  |
| effeciencyFactor             | 0.97                                         | 0.96                                         | 0.97                                         | 0.98                                         | 0.97     | 0.01    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
