+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+----------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean     | Std      |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+----------+
| Code templates folder        | code-templates-solardatatools                |                                              |                                              |                                              |                                              |                                              |          |          |
| Number of nodes              | 16                                           |                                              |                                              |                                              |                                              |                                              |          |          |
| Number of workers            | 16                                           |                                              |                                              |                                              |                                              |                                              |          |          |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |          |          |
| File name                    | logs-ip172311688useast2computeinternal-0.csv | logs-ip172311688useast2computeinternal-1.csv | logs-ip172311688useast2computeinternal-2.csv | logs-ip172311688useast2computeinternal-3.csv | logs-ip172311688useast2computeinternal-4.csv | logs-ip172311688useast2computeinternal-5.csv |          |          |
| total_tasks                  | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          |          |          |
| average_task_duration        | 130.43                                       | 43.25                                        | 41.3                                         | 39.64                                        | 40.3                                         | 41.08                                        | 56.0     | 36.48    |
| min_duration                 | 24.65                                        | 24.39                                        | 26.29                                        | 23.43                                        | 25.95                                        | 24.92                                        |          |          |
| shortest_task                | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              |          |          |
| max_duration                 | 247.98                                       | 69.29                                        | 163.46                                       | 116.87                                       | 113.86                                       | 118.5                                        |          |          |
| longest_task                 | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              |          |          |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |          |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |          |
| task_duration_in_parallelism | 2748.98                                      | 968.91                                       | 975.13                                       | 930.74                                       | 930.54                                       | 947.79                                       | 1250.35  | 734.41   |
| tasks_durtaion_sum           | 83994.84                                     | 27852.35                                     | 26596.53                                     | 25529.18                                     | 25955.77                                     | 26453.21                                     | 36063.65 | 23494.49 |
| initial_process_time         | 390.81                                       | 380.36                                       | 378.8                                        | 383.5                                        | 383.58                                       | 271.8                                        | 364.81   | 45.75    |
| total_process_time           | 3149.84                                      | 1357.18                                      | 1363.98                                      | 1322.01                                      | 1325.11                                      | 1227.48                                      | 1624.27  | 748.97   |
| effeciencyFactor             | 0.95                                         | 0.9                                          | 0.85                                         | 0.86                                         | 0.87                                         | 0.87                                         | 0.88     | 0.04     |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+----------+
