+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean     | Std     |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
| Code templates folder        | code-templates-solardatatools                |                                              |                                              |                                              |                                              |                                              |          |         |
| Number of nodes              | 32                                           |                                              |                                              |                                              |                                              |                                              |          |         |
| Number of workers            | 32                                           |                                              |                                              |                                              |                                              |                                              |          |         |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |          |         |
| File name                    | logs-ip172311688useast2computeinternal-0.csv | logs-ip172311688useast2computeinternal-1.csv | logs-ip172311688useast2computeinternal-2.csv | logs-ip172311688useast2computeinternal-3.csv | logs-ip172311688useast2computeinternal-4.csv | logs-ip172311688useast2computeinternal-5.csv |          |         |
| total_tasks                  | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          |          |         |
| average_task_duration        | 27.43                                        | 32.92                                        | 33.3                                         | 33.43                                        | 34.07                                        | 34.0                                         | 32.52    | 2.53    |
| min_duration                 | 18.7                                         | 18.87                                        | 18.75                                        | 18.77                                        | 18.82                                        | 18.8                                         |          |         |
| shortest_task                | PVO/PVOutput/28446.csv/Power(W)              | PVO/PVOutput/43502.csv/Power(W)              | PVO/PVOutput/39456.csv/Power(W)              | PVO/PVOutput/5503.csv/Power(W)               | PVO/PVOutput/33381.csv/Power(W)              | PVO/PVOutput/25505.csv/Power(W)              |          |         |
| max_duration                 | 85.6                                         | 84.83                                        | 91.45                                        | 86.75                                        | 90.8                                         | 88.16                                        |          |         |
| longest_task                 | PVO/PVOutput/3244.csv/Power(W)               | PVO/PVOutput/29856.csv/Power(W)              | PVO/PVOutput/31601.csv/Power(W)              | PVO/PVOutput/28941.csv/Power(W)              | PVO/PVOutput/27191.csv/Power(W)              | PVO/PVOutput/44585.csv/Power(W)              |          |         |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |         |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |         |
| task_duration_in_parallelism | 468.82                                       | 518.3                                        | 574.36                                       | 543.47                                       | 572.2                                        | 533.66                                       | 535.13   | 39.15   |
| tasks_durtaion_sum           | 17665.76                                     | 21203.19                                     | 21445.46                                     | 21527.12                                     | 21940.06                                     | 21896.44                                     | 20946.34 | 1631.24 |
| initial_process_time         | 222.51                                       | 74.4                                         | 68.96                                        | 67.14                                        | 56.22                                        | 49.25                                        | 89.75    | 65.68   |
| total_process_time           | 701.51                                       | 600.65                                       | 651.18                                       | 618.53                                       | 638.11                                       | 590.83                                       | 633.47   | 40.21   |
| effeciencyFactor             | 0.59                                         | 0.64                                         | 0.58                                         | 0.62                                         | 0.6                                          | 0.64                                         | 0.61     | 0.03    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
