,data
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
1,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
0,this gridlabd test_R2-12.47-1.glm
