+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean     | Std     |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
| Code templates folder        | code-templates-solardatatools                |                                              |                                              |                                              |                                              |                                              |          |         |
| Number of nodes              | 20                                           |                                              |                                              |                                              |                                              |                                              |          |         |
| Number of workers            | 20                                           |                                              |                                              |                                              |                                              |                                              |          |         |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |          |         |
| File name                    | logs-ip172311688useast2computeinternal-0.csv | logs-ip172311688useast2computeinternal-1.csv | logs-ip172311688useast2computeinternal-2.csv | logs-ip172311688useast2computeinternal-3.csv | logs-ip172311688useast2computeinternal-4.csv | logs-ip172311688useast2computeinternal-5.csv |          |         |
| total_tasks                  | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          | 644                                          |          |         |
| average_task_duration        | 35.73                                        | 43.12                                        | 44.23                                        | 45.97                                        | 48.03                                        | 47.37                                        | 44.07    | 4.49    |
| min_duration                 | 19.48                                        | 17.33                                        | 20.45                                        | 19.52                                        | 19.85                                        | 20.01                                        |          |         |
| shortest_task                | PVO/PVOutput/21179.csv/Power(W)              | PVO/PVOutput/31263.csv/Power(W)              | PVO/PVOutput/46520.csv/Power(W)              | PVO/PVOutput/9382.csv/Power(W)               | PVO/PVOutput/9707.csv/Power(W)               | PVO/PVOutput/9489.csv/Power(W)               |          |         |
| max_duration                 | 90.54                                        | 86.59                                        | 105.65                                       | 90.27                                        | 88.06                                        | 91.0                                         |          |         |
| longest_task                 | PVO/PVOutput/37366.csv/Power(W)              | PVO/PVOutput/26238.csv/Power(W)              | PVO/PVOutput/36855.csv/Power(W)              | PVO/PVOutput/42062.csv/Power(W)              | PVO/PVOutput/31151.csv/Power(W)              | PVO/PVOutput/29757.csv/Power(W)              |          |         |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |         |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |          |         |
| task_duration_in_parallelism | 678.52                                       | 774.0                                        | 760.17                                       | 768.48                                       | 809.41                                       | 794.85                                       | 764.24   | 45.73   |
| tasks_durtaion_sum           | 23012.98                                     | 27769.99                                     | 28483.56                                     | 29602.53                                     | 30934.48                                     | 30508.94                                     | 28385.41 | 2889.29 |
| initial_process_time         | 204.59                                       | 75.77                                        | 76.14                                        | 73.17                                        | 56.83                                        | 80.21                                        | 94.45    | 54.56   |
| total_process_time           | 891.12                                       | 862.48                                       | 849.53                                       | 853.29                                       | 877.98                                       | 885.88                                       | 870.05   | 17.42   |
| effeciencyFactor             | 0.85                                         | 0.9                                          | 0.94                                         | 0.96                                         | 0.96                                         | 0.96                                         | 0.93     | 0.04    |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------+---------+
