+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+---------+
| Performance                  | Repeat 0                                      | Repeat 1                                      | Repeat 2                                      | Repeat 3                                      | Repeat 4                                      | Repeat 5                                      | Mean     | Std     |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+---------+
| Code templates folder        | code-templates-solardatatools                 |                                               |                                               |                                               |                                               |                                               |          |         |
| Number of nodes              | 32                                            |                                               |                                               |                                               |                                               |                                               |          |         |
| Number of workers            | 32                                            |                                               |                                               |                                               |                                               |                                               |          |         |
| Instance type                | t2.large                                      |                                               |                                               |                                               |                                               |                                               |          |         |
| File name                    | logs-ip1723129113useast2computeinternal-0.csv | logs-ip1723129113useast2computeinternal-1.csv | logs-ip1723129113useast2computeinternal-2.csv | logs-ip1723129113useast2computeinternal-3.csv | logs-ip1723129113useast2computeinternal-4.csv | logs-ip1723129113useast2computeinternal-5.csv |          |         |
| total_tasks                  | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           | 644                                           |          |         |
| average_task_duration        | 39.23                                         | 39.34                                         | 39.36                                         | 51.34                                         | 54.07                                         | 53.95                                         | 46.22    | 7.63    |
| min_duration                 | 18.81                                         | 18.7                                          | 18.81                                         | 18.73                                         | 18.8                                          | 17.8                                          |          |         |
| shortest_task                | PVO/PVOutput/40058.csv/Power(W)               | PVO/PVOutput/10858.csv/Power(W)               | PVO/PVOutput/45965.csv/Power(W)               | PVO/PVOutput/26327.csv/Power(W)               | PVO/PVOutput/27002.csv/Power(W)               | PVO/PVOutput/15080.csv/Power(W)               |          |         |
| max_duration                 | 74.52                                         | 71.2                                          | 73.96                                         | 240.71                                        | 241.35                                        | 245.58                                        |          |         |
| longest_task                 | PVO/PVOutput/37201.csv/Power(W)               | PVO/PVOutput/42054.csv/Power(W)               | PVO/PVOutput/40335.csv/Power(W)               | PVO/PVOutput/45241.csv/Power(W)               | PVO/PVOutput/26238.csv/Power(W)               | PVO/PVOutput/33299.csv/Power(W)               |          |         |
| num_error_task               | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |          |         |
| num_unfinished_tasks         | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             | 0                                             |          |         |
| task_duration_in_parallelism | 673.16                                        | 672.65                                        | 656.83                                        | 1087.18                                       | 1108.96                                       | 1137.36                                       | 889.36   | 243.57  |
| tasks_durtaion_sum           | 25261.47                                      | 25333.61                                      | 25348.9                                       | 33061.27                                      | 34824.16                                      | 34743.03                                      | 29762.07 | 4912.48 |
| initial_process_time         | 96.95                                         | 53.55                                         | 55.37                                         | 53.61                                         | 53.64                                         | 53.64                                         | 61.13    | 17.56   |
| total_process_time           | 778.62                                        | 735.56                                        | 720.34                                        | 1148.74                                       | 1170.51                                       | 1198.96                                       | 958.79   | 235.69  |
| effeciencyFactor             | 0.59                                          | 0.59                                          | 0.6                                           | 0.48                                          | 0.49                                          | 0.48                                          | 0.54     | 0.06    |
+------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+-----------------------------------------------+----------+---------+
