,bucket,delay,delayTime
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
1,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
1,pv.insight.nrel,PVO/PVOutput/10010.csv,5
2,pv.insight.nrel,PVO/PVOutput/10010.csv,5
3,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
0,pv.insight.nrel,PVO/PVOutput/10010.csv,5
