,file,data
0,/app/project/R5-25000-6.glm,"/app/project/R5-25000-6.glm,0 kW,986,1706,14,9.1
"
0,/app/project/R5-25000-6.glm,"/app/project/R5-25000-6.glm,0 kW,986,1706,14,9.2
"
0,/app/project/R5-25000-6.glm,"/app/project/R5-25000-6.glm,0 kW,986,1706,14,9.106
"
0,/app/project/R5-25000-6.glm,"/app/project/R5-25000-6.glm,0 kW,986,1706,14,9.197
"
0,/app/project/R5-25000-6.glm,"/app/project/R5-25000-6.glm,0 kW,986,1706,14,9.394
"
0,/app/project/R5-12470-5.glm,"/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.394
"
0,/app/project/R5-12470-5.glm,"/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.51
"
0,/app/project/R5-12470-5.glm,"/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.405
"
0,/app/project/R5-12470-5.glm,"/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.487
"
1,/app/project/R5-12470-5.glm,"/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.491
"
0,/app/project/R2-35000-5.glm,"/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.313
"
0,/app/project/R2-35000-5.glm,"/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.405
"
0,/app/project/R1-12470-1.glm,"/app/project/R1-12470-1.glm,0 kW,660,1832,20,11.009
"
1,/app/project/R1-12470-1.glm,"/app/project/R1-12470-1.glm,0 kW,660,1832,20,10.99
"
0,/app/project/R2-35000-5.glm,"/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.899
"
1,/app/project/R1-12470-1.glm,"/app/project/R1-12470-1.glm,0 kW,660,1832,20,11.401
"
2,/app/project/R2-35000-5.glm,"/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.887
"
0,/app/project/R2-35000-5.glm,"/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.616
"
0,/app/project/MO0001.glm,"/app/project/R5-25000-6.glm,0 kW,986,1706,14,9.1
/app/project/MO0001.glm,0 kW,1354,1350,442,8.479
"
0,/app/project/R4-12470-1.glm,"/app/project/R5-25000-6.glm,0 kW,986,1706,14,9.2
/app/project/R4-12470-1.glm,0 kW,725,1599,75,9.514
"
0,/app/project/MO0001.glm,"/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.313
/app/project/MO0001.glm,0 kW,1354,1350,442,8.609
"
0,/app/project/R4-12470-1.glm,"/app/project/R5-25000-6.glm,0 kW,986,1706,14,9.197
/app/project/R4-12470-1.glm,0 kW,725,1599,75,9.394
"
1,/app/project/R4-12470-1.glm,"/app/project/R5-25000-6.glm,0 kW,986,1706,14,9.106
/app/project/R4-12470-1.glm,0 kW,725,1599,75,9.585
"
0,/app/project/R4-12470-1.glm,"/app/project/R5-25000-6.glm,0 kW,986,1706,14,9.394
/app/project/R4-12470-1.glm,0 kW,725,1599,75,9.491
"
1,/app/project/MO0001.glm,"/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.405
/app/project/MO0001.glm,0 kW,1354,1350,442,8.799
"
0,/app/project/MO0001.glm,"/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.899
/app/project/MO0001.glm,0 kW,1354,1350,442,8.099
"
0,/app/project/MO0001.glm,"/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.616
/app/project/MO0001.glm,0 kW,1354,1350,442,8.405
"
0,/app/project/R3-12470-1.glm,"/app/project/R1-12470-1.glm,0 kW,660,1832,20,11.009
/app/project/R3-12470-1.glm,0 kW,764,1513,64,9.406
"
0,/app/project/R2-12470-3.glm,"/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.487
/app/project/R2-12470-3.glm,0 kW,855,1812,11,10.48
"
0,/app/project/R2-12470-3.glm,"/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.51
/app/project/R2-12470-3.glm,0 kW,855,1812,11,10.288
"
1,/app/project/R3-12470-1.glm,"/app/project/R1-12470-1.glm,0 kW,660,1832,20,10.99
/app/project/R3-12470-1.glm,0 kW,764,1513,64,9.493
"
0,/app/project/R2-12470-3.glm,"/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.405
/app/project/R2-12470-3.glm,0 kW,855,1812,11,10.299
"
0,/app/project/R2-12470-3.glm,"/app/project/R5-12470-5.glm,0 kW,1160,1831,28,10.491
/app/project/R2-12470-3.glm,0 kW,855,1812,11,10.165
"
0,/app/project/R4-12470-1.glm,"/app/project/R1-12470-1.glm,0 kW,660,1832,20,11.401
/app/project/R4-12470-1.glm,0 kW,725,1599,75,9.502
"
0,/app/project/8500.glm,"/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.313
/app/project/MO0001.glm,0 kW,1354,1350,442,8.609
/app/project/8500.glm,0 kW,2526,4876,0,21.506
"
0,/app/project/R2-12470-3.glm,"/app/project/R2-35000-5.glm,0 kW,1942,1811,447,11.887
/app/project/R2-12470-3.glm,0 kW,855,1812,11,10.102
"
0,/app/project/8500.glm,"/app/project/R5-25000-6.glm,0 kW,986,1706,14,9.1
/app/project/MO0001.glm,0 kW,1354,1350,442,8.479
/app/project/8500.glm,0 kW,2526,4876,0,22.72
"
