,host_ip,host_name,timestamp,pid,alert_type,start_time,end_time,user_id,messages,task_id,file_name,column_name
0,10.1.10.196,worker-7997b574d4-2t2bw,1656540838.610034,28,SAVED_DATA,1656540788.3483338,1656540838.451173,PC97527,"{""bucket"": ""pv.insight.nrel"", ""file"": ""PVO/PVOutput/10059.csv"", ""column"": ""Power(W)"", ""solver"": ""MOSEK"", ""length"": 4.41, ""capacity_estimate"": 5.28, ""power_units"": ""W"", ""data_sampling"": 5, ""data_quality_score"": 98.4, ""data_clearness_score"": 31.8, ""time_shifts"": true, ""num_clip_points"": 0, ""tz_correction"": -2, ""inverter_clipping"": false, ""normal_quality_scores"": true, ""capacity_changes"": false, ""user_id"": ""PC97527"", ""task_id"": ""7a015d1a-83c2-4c0d-bb91-97b0a75f799f"", ""start_time"": ""1656540788.3483338"", ""end_time"": ""1656540838.451173""}",7a015d1a-83c2-4c0d-bb91-97b0a75f799f,PVO/PVOutput/10059.csv,Power(W)
0,10.1.10.196,worker-7997b574d4-2t2bw,1656540867.5650496,24,SAVED_DATA,1656540801.7263627,1656540867.5310788,PC97527,"{""bucket"": ""pv.insight.nrel"", ""file"": ""PVO/PVOutput/10795.csv"", ""column"": ""Power(W)"", ""solver"": ""MOSEK"", ""length"": 4.96, ""capacity_estimate"": 16.7, ""power_units"": ""W"", ""data_sampling"": 5, ""data_quality_score"": 94.6, ""data_clearness_score"": 23.1, ""time_shifts"": true, ""num_clip_points"": 0, ""tz_correction"": 0, ""inverter_clipping"": false, ""normal_quality_scores"": true, ""capacity_changes"": false, ""user_id"": ""PC97527"", ""task_id"": ""4540c0d0-0599-4621-8bea-507fc00707d3"", ""start_time"": ""1656540801.7263627"", ""end_time"": ""1656540867.5310788""}",4540c0d0-0599-4621-8bea-507fc00707d3,PVO/PVOutput/10795.csv,Power(W)
1,10.1.10.196,worker-7997b574d4-2t2bw,1656540868.6504889,23,SAVED_DATA,1656540795.5595171,1656540868.6105204,PC97527,"{""bucket"": ""pv.insight.nrel"", ""file"": ""PVO/PVOutput/10284.csv"", ""column"": ""Power(W)"", ""solver"": ""MOSEK"", ""length"": 4.99, ""capacity_estimate"": 3.38, ""power_units"": ""W"", ""data_sampling"": 5, ""data_quality_score"": 97.8, ""data_clearness_score"": 14.4, ""time_shifts"": false, ""num_clip_points"": 0, ""tz_correction"": -1, ""inverter_clipping"": false, ""normal_quality_scores"": true, ""capacity_changes"": false, ""user_id"": ""PC97527"", ""task_id"": ""2024e127-24da-4e1c-9091-97a2f302a18e"", ""start_time"": ""1656540795.5595171"", ""end_time"": ""1656540868.6105204""}",2024e127-24da-4e1c-9091-97a2f302a18e,PVO/PVOutput/10284.csv,Power(W)
2,10.1.10.196,worker-7997b574d4-2t2bw,1656540877.1109066,26,SAVED_DATA,1656540787.9228864,1656540877.0786474,PC97527,"{""bucket"": ""pv.insight.nrel"", ""file"": ""PVO/PVOutput/10010.csv"", ""column"": ""Power(W)"", ""solver"": ""MOSEK"", ""length"": 5.03, ""capacity_estimate"": 4.71, ""power_units"": ""W"", ""data_sampling"": 5, ""data_quality_score"": 96.6, ""data_clearness_score"": 17.5, ""time_shifts"": false, ""num_clip_points"": 0, ""tz_correction"": -1, ""inverter_clipping"": false, ""normal_quality_scores"": true, ""capacity_changes"": false, ""user_id"": ""PC97527"", ""task_id"": ""0957b7e0-7134-4869-8c64-43f598f9fbf6"", ""start_time"": ""1656540787.9228864"", ""end_time"": ""1656540877.0786474""}",0957b7e0-7134-4869-8c64-43f598f9fbf6,PVO/PVOutput/10010.csv,Power(W)
3,10.1.10.196,worker-7997b574d4-2t2bw,1656540878.0671563,27,SAVED_DATA,1656540796.4367406,1656540878.0343094,PC97527,"{""bucket"": ""pv.insight.nrel"", ""file"": ""PVO/PVOutput/10664.csv"", ""column"": ""Power(W)"", ""solver"": ""MOSEK"", ""length"": 4.97, ""capacity_estimate"": 6.85, ""power_units"": ""W"", ""data_sampling"": 5, ""data_quality_score"": 91.8, ""data_clearness_score"": 18.1, ""time_shifts"": false, ""num_clip_points"": 0, ""tz_correction"": 0, ""inverter_clipping"": false, ""normal_quality_scores"": true, ""capacity_changes"": true, ""user_id"": ""PC97527"", ""task_id"": ""aaf158e5-8394-4d16-9615-87d6c6f3a117"", ""start_time"": ""1656540796.4367406"", ""end_time"": ""1656540878.0343094""}",aaf158e5-8394-4d16-9615-87d6c6f3a117,PVO/PVOutput/10664.csv,Power(W)
0,10.1.10.196,worker-7997b574d4-2t2bw,1656540883.557493,25,SAVED_DATA,1656540802.4385033,1656540883.5262387,PC97527,"{""bucket"": ""pv.insight.nrel"", ""file"": ""PVO/PVOutput/10807.csv"", ""column"": ""Power(W)"", ""solver"": ""MOSEK"", ""length"": 4.92, ""capacity_estimate"": 4.76, ""power_units"": ""W"", ""data_sampling"": 5, ""data_quality_score"": 59.3, ""data_clearness_score"": 9.4, ""time_shifts"": false, ""num_clip_points"": 0, ""tz_correction"": -1, ""inverter_clipping"": false, ""normal_quality_scores"": false, ""capacity_changes"": true, ""user_id"": ""PC97527"", ""task_id"": ""2b50daa0-b9d8-4b3d-878d-d4385a6183df"", ""start_time"": ""1656540802.4385033"", ""end_time"": ""1656540883.5262387""}",2b50daa0-b9d8-4b3d-878d-d4385a6183df,PVO/PVOutput/10807.csv,Power(W)
0,10.1.10.196,worker-7997b574d4-2t2bw,1656540937.889765,23,SAVED_DATA,1656540869.223597,1656540937.8797238,PC97527,"{""bucket"": ""pv.insight.nrel"", ""file"": ""PVO/PVOutput/10877.csv"", ""column"": ""Power(W)"", ""solver"": ""MOSEK"", ""length"": 4.95, ""capacity_estimate"": 4.8, ""power_units"": ""W"", ""data_sampling"": 5, ""data_quality_score"": 88.7, ""data_clearness_score"": 14.8, ""time_shifts"": false, ""num_clip_points"": 0, ""tz_correction"": 0, ""inverter_clipping"": false, ""normal_quality_scores"": true, ""capacity_changes"": true, ""user_id"": ""PC97527"", ""task_id"": ""64a03567-4023-4243-b8dd-be8e39df5612"", ""start_time"": ""1656540869.223597"", ""end_time"": ""1656540937.8797238""}",64a03567-4023-4243-b8dd-be8e39df5612,PVO/PVOutput/10877.csv,Power(W)
0,10.1.10.196,worker-7997b574d4-2t2bw,1656540949.8325348,24,SAVED_DATA,1656540868.4200203,1656540949.8244302,PC97527,"{""bucket"": ""pv.insight.nrel"", ""file"": ""PVO/PVOutput/10858.csv"", ""column"": ""Power(W)"", ""solver"": ""MOSEK"", ""length"": 4.95, ""capacity_estimate"": 4.02, ""power_units"": ""W"", ""data_sampling"": 5, ""data_quality_score"": 97.5, ""data_clearness_score"": 49.3, ""time_shifts"": true, ""num_clip_points"": 0, ""tz_correction"": 0, ""inverter_clipping"": false, ""normal_quality_scores"": true, ""capacity_changes"": true, ""user_id"": ""PC97527"", ""task_id"": ""d47a1686-b856-45cd-9f15-90f3784469a7"", ""start_time"": ""1656540868.4200203"", ""end_time"": ""1656540949.8244302""}",d47a1686-b856-45cd-9f15-90f3784469a7,PVO/PVOutput/10858.csv,Power(W)
1,10.1.10.196,worker-7997b574d4-2t2bw,1656540950.220814,26,SAVED_DATA,1656540877.5873206,1656540950.2133906,PC97527,"{""bucket"": ""pv.insight.nrel"", ""file"": ""PVO/PVOutput/10940.csv"", ""column"": ""Power(W)"", ""solver"": ""MOSEK"", ""length"": 4.95, ""capacity_estimate"": 4.49, ""power_units"": ""W"", ""data_sampling"": 5, ""data_quality_score"": 90.5, ""data_clearness_score"": 21.4, ""time_shifts"": false, ""num_clip_points"": 0, ""tz_correction"": 0, ""inverter_clipping"": false, ""normal_quality_scores"": true, ""capacity_changes"": true, ""user_id"": ""PC97527"", ""task_id"": ""5376bb50-1444-4330-9b32-5807ceb67d5b"", ""start_time"": ""1656540877.5873206"", ""end_time"": ""1656540950.2133906""}",5376bb50-1444-4330-9b32-5807ceb67d5b,PVO/PVOutput/10940.csv,Power(W)
2,10.1.10.196,worker-7997b574d4-2t2bw,1656540954.1881554,28,SAVED_DATA,1656540839.3102758,1656540954.1811972,PC97527,"{""bucket"": ""pv.insight.nrel"", ""file"": ""PVO/PVOutput/10838.csv"", ""column"": ""Power(W)"", ""solver"": ""MOSEK"", ""length"": 4.96, ""capacity_estimate"": 4.62, ""power_units"": ""W"", ""data_sampling"": 5, ""data_quality_score"": 95.6, ""data_clearness_score"": 17.2, ""time_shifts"": false, ""num_clip_points"": 0, ""tz_correction"": 0, ""inverter_clipping"": false, ""normal_quality_scores"": false, ""capacity_changes"": false, ""user_id"": ""PC97527"", ""task_id"": ""124ad8c7-f000-457c-8a89-7825ddfeb01b"", ""start_time"": ""1656540839.3102758"", ""end_time"": ""1656540954.1811972""}",124ad8c7-f000-457c-8a89-7825ddfeb01b,PVO/PVOutput/10838.csv,Power(W)
