+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Performance                  | Repeat 0                                     | Repeat 1                                     | Repeat 2                                     | Repeat 3                                     | Repeat 4                                     | Repeat 5                                     | Mean    | Std   |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
| Code templates folder        | code-templates-gridlabd                      |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of nodes              | 16                                           |                                              |                                              |                                              |                                              |                                              |         |       |
| Number of workers            | 16                                           |                                              |                                              |                                              |                                              |                                              |         |       |
| Instance type                | t2.large                                     |                                              |                                              |                                              |                                              |                                              |         |       |
| File name                    | logs-ip172312789useast2computeinternal-0.csv | logs-ip172312789useast2computeinternal-1.csv | logs-ip172312789useast2computeinternal-2.csv | logs-ip172312789useast2computeinternal-3.csv | logs-ip172312789useast2computeinternal-4.csv | logs-ip172312789useast2computeinternal-5.csv |         |       |
| total_tasks                  | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          | 200                                          |         |       |
| average_task_duration        | 7.73                                         | 7.69                                         | 7.68                                         | 7.68                                         | 7.71                                         | 7.67                                         | 7.69    | 0.02  |
| min_duration                 | 7.17                                         | 7.2                                          | 7.19                                         | 7.17                                         | 7.16                                         | 7.2                                          |         |       |
| shortest_task                | PVO/PVOutput/17152.csv/Power(W)              | PVO/PVOutput/27609.csv/Power(W)              | PVO/PVOutput/21167.csv/Power(W)              | PVO/PVOutput/24445.csv/Power(W)              | PVO/PVOutput/19411.csv/Power(W)              | PVO/PVOutput/23118.csv/Power(W)              |         |       |
| max_duration                 | 12.33                                        | 8.35                                         | 8.29                                         | 8.34                                         | 12.8                                         | 8.35                                         |         |       |
| longest_task                 | PVO/PVOutput/27267.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              | PVO/PVOutput/10838.csv/Power(W)              | PVO/PVOutput/10858.csv/Power(W)              | PVO/PVOutput/25863.csv/Power(W)              | PVO/PVOutput/10010.csv/Power(W)              |         |       |
| num_error_task               | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |       |
| num_unfinished_tasks         | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            | 0                                            |         |       |
| task_duration_in_parallelism | 119.92                                       | 115.56                                       | 113.56                                       | 109.02                                       | 109.49                                       | 110.94                                       | 113.08  | 4.17  |
| tasks_durtaion_sum           | 1546.73                                      | 1537.26                                      | 1536.47                                      | 1535.96                                      | 1541.73                                      | 1534.77                                      | 1538.82 | 4.55  |
| initial_process_time         | 286.58                                       | 51.88                                        | 45.76                                        | 44.51                                        | 85.74                                        | 44.46                                        | 93.16   | 96.08 |
| total_process_time           | 412.42                                       | 173.38                                       | 165.32                                       | 159.61                                       | 201.11                                       | 161.31                                       | 212.19  | 99.27 |
| effeciencyFactor             | 0.72                                         | 0.49                                         | 0.8                                          | 0.56                                         | 0.74                                         | 0.73                                         | 0.67    | 0.12  |
+------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+----------------------------------------------+---------+-------+
